Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Parent in Telemark,Employees,Org. nr._str
Kis sør as avd Telemark,985032459,984625391,17.0,Underenhet,,,,,Råde,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Skien,False,17.0,985032459
Statkraft energi as avd Vinje kraftverk,974798948,987059729,17.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Vinje,False,17.0,974798948
Statkraft energi as avd kraftverksgruppe mår,974798980,987059729,17.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Tinn,False,17.0,974798980
Belfor Norway as avd Telemark,925037605,884367522,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.99,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,,,,,BEDR,Skien,False,17.0,925037605
Coop sørøst sa avd 1191 extra gulset,974900483,947456415,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,17.0,974900483
Norsk butikkdrift as extra ulefoss avd 4281,976188950,931186744,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Nome,False,17.0,976188950
Norsk butikkdrift as extra Notodden avd 4282,990344981,931186744,17.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Notodden,False,17.0,990344981
Europris Porsgrunn 442,882251802,987553014,17.0,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Porsgrunn,False,17.0,882251802
Byggmakker handel as avd bø i Telemark,915978916,980656616,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.52,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",,,,,BEDR,Midt-Telemark,False,17.0,915978916
Apotek 1 gulset,876799952,983044778,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.73,Detaljhandel med apotekvarer,,,,,BEDR,Skien,False,17.0,876799952
Azets insight as avd grenland - Porsgrunn,985212589,983338917,17.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Porsgrunn,False,17.0,985212589
Sintef industri avd Porsgrunn,974819260,919303808,17.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,,BEDR,Porsgrunn,False,17.0,974819260
Anicura rising dyreklinikk,972196630,911627604,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,75.0,Veterinærtjenester,,,,,BEDR,Skien,False,17.0,972196630
Green mountain services as avd rjukan,834623862,933919005,17.0,Underenhet,,,,,Stavanger,Underenhet til næringsdrivende og offentlig forvaltning,82.1,Kontortjenester,,,,,BEDR,Tinn,False,17.0,834623862
Den norske kirke i Skien,974733315,818066872,17.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,94.91,Aktiviteter i religiøse organisasjoner,,,,,BEDR,Skien,False,17.0,974733315
Consto as avd Porsgrunn,935263778,995754606,16.0,Underenhet,,,,,Tromsø,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,16.0,935263778
Bravida Norge as Notodden elektro,986888403,987582561,16.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Notodden,False,16.0,986888403
Brødrene dahl as avd Skien,973094920,945757280,16.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,46.84,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",,,,,BEDR,Skien,False,16.0,973094920
Gigaboks Skien,832728772,928672131,16.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,16.0,832728772
Spar ulefoss,971742631,986698159,16.0,Underenhet,,,,,Larvik,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Nome,False,16.0,971742631
Ng kiwi Vestfold Telemark as avd 501 stridsklev,971855479,984981384,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Porsgrunn,False,16.0,971855479
Coop sørøst sa avd 1201 extra klyve,973142372,947456415,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,16.0,973142372
Ng kiwi Vestfold Telemark as avd 552 gulset,974165236,984981384,16.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,16.0,974165236
Europris herkules 595,988405264,987553014,16.0,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Skien,False,16.0,988405264
Clas ohlson as avd Skien,991246967,937402198,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Skien,False,16.0,991246967
Vinmonopolet as butikk Skien gråtenmoen,929506227,817209882,16.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.25,Detaljhandel med drikkevarer,,,,,BEDR,Skien,False,16.0,929506227
Vitusapotek ulefoss,971785861,965336796,16.0,Underenhet,,,,,Nome,Underenhet til næringsdrivende og offentlig forvaltning,47.73,Detaljhandel med apotekvarer,,,,,BEDR,Nome,False,16.0,971785861
"Normal Norge as avd no1109 notodden, tuven",928115895,917019738,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.75,Detaljhandel med kosmetikk og toalettartikler,,,,,BEDR,Notodden,False,16.0,928115895
Slg logistikk as avd Skien,930746487,830713492,16.0,Underenhet,,,,,Vestby,Underenhet til næringsdrivende og offentlig forvaltning,52.1,Lagring,,,,,BEDR,Skien,False,16.0,930746487
Bane nor Porsgrunn,987233516,917082308,16.0,Underenhet,,,,,Hamar,Underenhet til næringsdrivende og offentlig forvaltning,52.219,Tjenester tilknyttet landtransport ikke nevnt annet sted,,,,,BEDR,Porsgrunn,False,16.0,987233516
Kystverket brevik vts,974732416,874783242,16.0,Underenhet,,,,,Ålesund,Underenhet til næringsdrivende og offentlig forvaltning,52.22,Andre tjenester tilknyttet sjøtransport,,,,,BEDR,Porsgrunn,False,16.0,974732416
Statens vegvesen Notodden trafikkstasjon,986262849,971032081,16.0,Underenhet,,,,,Arendal,Underenhet til næringsdrivende og offentlig forvaltning,71.2,Teknisk prøving og analyse,,,,,BEDR,Notodden,False,16.0,986262849
Ecura hjemmetjenester as avd pb region sør,934309618,935111587,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.101,Praktisk bistand i hjemmet,,,,,BEDR,Skien,False,16.0,934309618
Onitio Norge as avd Porsgrunn,932475952,938751943,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,95.1,Reparasjon og vedlikehold av datamaskiner og kommunikasjonsutstyr,,,,,BEDR,Porsgrunn,False,16.0,932475952
Zeppelin construction equipment Norway as verksted Porsgrunn,988699462,947628380,15.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,False,15.0,988699462
Ibka Norge as avd rafnes,992387998,952070533,15.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,38.12,Innsamling av farlig avfall,,,,,BEDR,Bamble,False,15.0,992387998
Eltel networks as avd bø,825167722,912955915,15.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,42.222,Bygging av anlegg for elektrisitet og telekommunikasjon på land,,,,,BEDR,Midt-Telemark,False,15.0,825167722
Holta & håland bilvaskutstyr as avd Seljord,984392117,990759812,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.64,Engroshandel med maskiner og utstyr ellers,,,,,BEDR,Seljord,False,15.0,984392117
Byggmakker handel as avd rjukan,814277712,980656616,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.83,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,,,,BEDR,Tinn,False,15.0,814277712
Norsk butikkdrift as extra borgåsen avd 4818,972808938,931186744,15.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,15.0,972808938
Coop sørøst sa avd 2576 extra Vinje,973145967,947456415,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Vinje,False,15.0,973145967
Coop sørøst sa avd 1198 extra Porsgrunn,973777882,947456415,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Porsgrunn,False,15.0,973777882
Ng kiwi Vestfold Telemark as avd kiwi 553 Kragerø,992269707,984981384,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Kragerø,False,15.0,992269707
Europris falkum 594,976784626,987553014,15.0,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Skien,False,15.0,976784626
Vitusapotek bø,973145061,965336796,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.73,Detaljhandel med apotekvarer,,,,,BEDR,Midt-Telemark,False,15.0,973145061
Thansen as avd Skien,991789235,923897682,15.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.82,Detaljhandel med deler og utstyr til motorvogner,,,,,BEDR,Skien,False,15.0,991789235
Burger king avd 5509 stathelle,819070172,914852625,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Bamble,False,15.0,819070172
Gastrokjell AS,833081802,933042332,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Bamble,False,15.0,833081802
Espresso house Norge as avd down town Porsgrunn 855,921632657,911592770,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,False,15.0,921632657
Sub 6 AS,925271098,925260665,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,False,15.0,925271098
24sevenoffice Norway as avd Skien,922558299,995251094,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,58.29,Utgivelse av annen programvare,,,,,BEDR,Skien,False,15.0,922558299
Value group as avd Kragerø,988471798,915156975,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Kragerø,False,15.0,988471798
Helse sør-øst rhf avd Skien,983759114,991324968,15.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.12,"Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet",,,,,BEDR,Skien,False,15.0,983759114
Konfliktrådet sør-øst,986075267,986074465,15.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.12,"Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet",,,,,BEDR,Skien,False,15.0,986075267
Læringsverkstedet nordagutu naturbarnehage AS,976644042,930874795,15.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Midt-Telemark,False,15.0,976644042
Ifront karriere Vestfold og Telemark,925144703,976377362,15.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,85.592,Undervisning i form av arbeidsmarkedskurs/arbeidsrettede kurs,,,,,BEDR,Skien,False,15.0,925144703
Kirkens bymisjon Porsgrunn,921779429,944384448,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.996,Andre sosialtjenester uten botilbud ellers,,,,,BEDR,Porsgrunn,False,15.0,921779429
Reetec AS,992912766,928177165,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,24.45,Produksjon av ikke-jernholdige metaller ellers,,,,,BEDR,Porsgrunn,False,14.0,992912766
Felleskjøpet bø 8559 verksted,973096516,911608103,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Midt-Telemark,False,14.0,973096516
Å energi vannkraft as avd høgefoss,974631261,882973972,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Nissedal,False,14.0,974631261
Gk Norge as avd grenland elektro,928045927,915892981,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Skien,False,14.0,928045927
Gk Norge as avd Notodden gki,973091301,915892981,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Notodden,False,14.0,973091301
Felleskjøpet Skien 8257 butikk,973096206,911608103,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.21,"Engroshandel med korn, råtobakk, såvarer og fôrvarer",,,,,BEDR,Skien,False,14.0,973096206
Akershus traktor as avd neslandsvatn,973313274,947340204,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.61,Engroshandel med maskiner og utstyr til jordbruk og skogbruk,,,,,BEDR,Drangedal,False,14.0,973313274
Coop sørøst sa avd 2679 extra gråtenmoen,924437936,947456415,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,14.0,924437936
Norsk butikkdrift as coop extra haugtun avd 4364,971703067,931186744,14.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Kragerø,False,14.0,971703067
Spar toppen,971943424,881642212,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,14.0,971943424
Clas ohlson as avd Notodden,831807482,937402198,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Notodden,False,14.0,831807482
Europris grasmyr 432,917684774,987553014,14.0,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Bamble,False,14.0,917684774
Clas ohlson as avd stathelle,919227206,937402198,14.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Bamble,False,14.0,919227206
Europris rjukan 497,921595506,987553014,14.0,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Tinn,False,14.0,921595506
Europris bø 439,980663302,987553014,14.0,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Midt-Telemark,False,14.0,980663302
Kid interiør as avd bøsenteret,918577947,958467095,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.51,Detaljhandel med tekstiler og utstyrsvarer,,,,,BEDR,Midt-Telemark,False,14.0,918577947
Xl bygg berge sag as avd Vinje sag,911892723,996002551,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.52,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",,,,,BEDR,Vinje,False,14.0,911892723
Jula Norge as avd 645 Notodden,935420385,890036732,14.0,Underenhet,,,,,Lørenskog,Underenhet til næringsdrivende og offentlig forvaltning,47.52,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",,,,,BEDR,Notodden,False,14.0,935420385
Normal Norge as avd no1011 stathelle alti brotorvet,920257380,917019738,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.75,Detaljhandel med kosmetikk og toalettartikler,,,,,BEDR,Bamble,False,14.0,920257380
Plantasjen Norge as avd telemarksporten,979643713,937087977,14.0,Underenhet,,,,,Kongsvinger,Underenhet til næringsdrivende og offentlig forvaltning,47.761,"Detaljhandel med blomster, planter, gjødsel og plantevernmidler",,,,,BEDR,Porsgrunn,False,14.0,979643713
Fretex miljø as avd butikk Skien,920229239,919764031,14.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.79,Detaljhandel med brukte varer,,,,,BEDR,Skien,False,14.0,920229239
Viken fiber as avd Porsgrunn,991215336,988027944,14.0,Underenhet,,,,,Drammen,Underenhet til næringsdrivende og offentlig forvaltning,61.1,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",,,,,BEDR,Porsgrunn,False,14.0,991215336
Visma software as avd Porsgrunn,930817287,933646920,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Porsgrunn,False,14.0,930817287
Zalaris hr services Norway as avd Notodden,994527045,990796378,14.0,Underenhet,,,,,Lødingen,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Notodden,False,14.0,994527045
Sparebanken Norge avd Porsgrunn,992231173,832554332,14.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Porsgrunn,False,14.0,992231173
Nemko norlab as avd Porsgrunn,911796147,953018144,14.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,71.2,Teknisk prøving og analyse,,,,,BEDR,Porsgrunn,False,14.0,911796147
Stendi as region sør bv kilebygda,916658710,985194653,14.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Skien,False,14.0,916658710
Firesafe as avd entreprenør Skien,931756036,958249799,13.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,43.23,Installasjon av isoleringsmateriale,,,,,BEDR,Skien,False,13.0,931756036
Nordic crane as avd Skien,926746960,951275824,13.0,Underenhet,,,,,Lillestrøm,Underenhet til næringsdrivende og offentlig forvaltning,43.99,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,,,,,BEDR,Skien,False,13.0,926746960
Canon business center Vestfold Telemark as avd Skien,973100408,945760222,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.5,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,,,,,BEDR,Skien,False,13.0,973100408
Coop sørøst sa avd 2691 extra hovenga,929845951,947456415,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Porsgrunn,False,13.0,929845951
Coop sørøst sa avd 2822 extra kvantum,931996355,947456415,13.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Notodden,False,13.0,931996355
Coop sørøst sa avd 1179 extra dalen,973145959,947456415,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Tokke,False,13.0,973145959
Coop sørøst sa avd 1181 extra rauland,973145975,947456415,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Vinje,False,13.0,973145975
Dollarstore avd liertorvet,931233580,921784872,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Skien,False,13.0,931233580
Clas ohlson as avd down town,989289853,937402198,13.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,47.12,Detaljhandel med bredt vareutvalg ellers,,,,,BEDR,Porsgrunn,False,13.0,989289853
New yorker 80007 Skien,912265900,998165199,13.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,47.71,Detaljhandel med klær,,,,,BEDR,Skien,False,13.0,912265900
Apotek 1 myren,929411366,983044778,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.73,Detaljhandel med apotekvarer,,,,,BEDR,Skien,False,13.0,929411366
Vitusapotek Notodden,971746394,965336796,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.73,Detaljhandel med apotekvarer,,,,,BEDR,Notodden,False,13.0,971746394
Apotek 1 hovenga,983716326,983044778,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.73,Detaljhandel med apotekvarer,,,,,BEDR,Porsgrunn,False,13.0,983716326
Brilleland avd 483 herkules,972261297,936314783,13.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.74,Detaljhandel med medisinske og ortopediske artikler,,,,,BEDR,Skien,False,13.0,972261297
Fredrik & louisa as avd herkules,991566600,937781164,13.0,Underenhet,,,,,Asker,Underenhet til næringsdrivende og offentlig forvaltning,47.75,Detaljhandel med kosmetikk og toalettartikler,,,,,BEDR,Skien,False,13.0,991566600
Bane nor Skien trafikk - staber,974709546,917082308,13.0,Underenhet,,,,,Hamar,Underenhet til næringsdrivende og offentlig forvaltning,52.219,Tjenester tilknyttet landtransport ikke nevnt annet sted,,,,,BEDR,Skien,False,13.0,974709546
Skue sparebank avd Notodden,992038098,837889812,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Notodden,False,13.0,992038098
Innovasjon Norge Vestfold og Telemark,878639502,986399445,13.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,64.92,Annen kredittgivning,,,,,BEDR,Porsgrunn,False,13.0,878639502
Dag bondeheim AS,973207024,976161017,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,13.0,973207024
Ecit services as avd Notodden,923201092,993800139,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Notodden,False,13.0,923201092
Sparebank 1 sør-norge forretningspartner as avd Porsgrunn,989542745,990945748,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Porsgrunn,False,13.0,989542745
Mattilsynet lokasjon Skien,974564637,985399077,13.0,Underenhet,,,,,Ringsaker,Underenhet til næringsdrivende og offentlig forvaltning,71.2,Teknisk prøving og analyse,,,,,BEDR,Skien,False,13.0,974564637
Ibsensykehusene Porsgrunn,914669073,980064921,13.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,78.2,Utleie av arbeidskraft og andre personaladministrative tjenester,,,,,BEDR,Porsgrunn,False,13.0,914669073
Statsbygg sør Porsgrunn administrasjon,974718405,971278374,13.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,81.1,Kombinerte tjenester tilknyttet eiendomsdrift,,,,,BEDR,Porsgrunn,False,13.0,974718405
Vinje lensmannskontor,974731487,983998178,13.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,84.24,Aktiviteter utført av politi- og påtalemyndighet,,,,,BEDR,Vinje,False,13.0,974731487
Unilabs laboratoriemedisin as avd Skien,912859924,935439035,13.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,86.91,Medisinske laboratorietjenester og bildediagnostikk,,,,,BEDR,Skien,False,13.0,912859924
Aberia ung as avd sannidal,923414258,984331584,13.0,Underenhet,,,,,Moss,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Kragerø,False,13.0,923414258
Aberia ung as avd lille frankrike,925333093,984331584,13.0,Underenhet,,,,,Moss,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Bamble,False,13.0,925333093
Vinjesenteret,923241205,976013263,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,91.212,Drift av kulturhistoriske museer,,,,,BEDR,Vinje,False,13.0,923241205
Lucky bowl Norge as avd Porsgrunn,934539931,877499022,13.0,Underenhet,,,,,Eigersund,Underenhet til næringsdrivende og offentlig forvaltning,93.292,Fritidsvirksomhet ellers,,,,,BEDR,Porsgrunn,False,13.0,934539931
Diplom-is as avd brevik,915135110,984460198,12.0,Underenhet,,,,,Nittedal,Underenhet til næringsdrivende og offentlig forvaltning,10.52,Produksjon av iskrem og andre spiselige isprodukter,,,,,BEDR,Bamble,False,12.0,915135110
Ragn-sells dekkgjenvinning as avd Bamble,914880718,913753623,12.0,Underenhet,,,,,Lørenskog,Underenhet til næringsdrivende og offentlig forvaltning,38.21,Materialgjenvinning,,,,,BEDR,Bamble,False,12.0,914880718
