Nivå,Geografisk enhet,Arbeidsmarkedsstatus,Kjønn,Antall personer,Andel av arbeidsstyrken,Dato
Fylker,Rogaland,Arbeidssøkere på tiltak,Begge kjønn,951,0.004,2014-05-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Kvinner,481,0.004,2014-05-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Menn,470,0.003,2014-05-01
Fylker,Rogaland,Delvis ledige,Begge kjønn,1623,0.006,2014-05-01
Fylker,Rogaland,Delvis ledige,Kvinner,948,0.008,2014-05-01
Fylker,Rogaland,Delvis ledige,Menn,675,0.005,2014-05-01
Fylker,Rogaland,Helt ledige,Begge kjønn,5120,0.02,2014-05-01
Fylker,Rogaland,Helt ledige,Kvinner,2251,0.019,2014-05-01
Fylker,Rogaland,Helt ledige,Menn,2869,0.021,2014-05-01
Fylker,Telemark,Arbeidssøkere på tiltak,Begge kjønn,387,0.004,2014-05-01
Fylker,Telemark,Arbeidssøkere på tiltak,Kvinner,177,0.004,2014-05-01
Fylker,Telemark,Arbeidssøkere på tiltak,Menn,210,0.005,2014-05-01
Fylker,Telemark,Delvis ledige,Begge kjønn,1363,0.016,2014-05-01
Fylker,Telemark,Delvis ledige,Kvinner,786,0.019,2014-05-01
Fylker,Telemark,Delvis ledige,Menn,577,0.013,2014-05-01
Fylker,Telemark,Helt ledige,Begge kjønn,2899,0.033,2014-05-01
Fylker,Telemark,Helt ledige,Kvinner,1174,0.028,2014-05-01
Fylker,Telemark,Helt ledige,Menn,1725,0.038,2014-05-01
Fylker,Troms ,Arbeidssøkere på tiltak,Begge kjønn,394,0.005,2014-05-01
Fylker,Troms ,Arbeidssøkere på tiltak,Kvinner,157,0.004,2014-05-01
Fylker,Troms ,Arbeidssøkere på tiltak,Menn,237,0.005,2014-05-01
Fylker,Troms ,Delvis ledige,Begge kjønn,950,0.011,2014-05-01
Fylker,Troms ,Delvis ledige,Kvinner,487,0.012,2014-05-01
Fylker,Troms ,Delvis ledige,Menn,463,0.01,2014-05-01
Fylker,Troms ,Helt ledige,Begge kjønn,1876,0.022,2014-05-01
Fylker,Troms ,Helt ledige,Kvinner,681,0.017,2014-05-01
Fylker,Troms ,Helt ledige,Menn,1195,0.026,2014-05-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Begge kjønn,1034,0.004,2014-05-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Kvinner,458,0.004,2014-05-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Menn,576,0.005,2014-05-01
Fylker,Trøndelag,Delvis ledige,Begge kjønn,2732,0.012,2014-05-01
Fylker,Trøndelag,Delvis ledige,Kvinner,1564,0.014,2014-05-01
Fylker,Trøndelag,Delvis ledige,Menn,1168,0.009,2014-05-01
Fylker,Trøndelag,Helt ledige,Begge kjønn,5729,0.024,2014-05-01
Fylker,Trøndelag,Helt ledige,Kvinner,2439,0.022,2014-05-01
Fylker,Trøndelag,Helt ledige,Menn,3290,0.026,2014-05-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Begge kjønn,892,0.007,2014-05-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Kvinner,488,0.009,2014-05-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Menn,404,0.006,2014-05-01
Fylker,Vestfold,Delvis ledige,Begge kjønn,1581,0.013,2014-05-01
Fylker,Vestfold,Delvis ledige,Kvinner,896,0.016,2014-05-01
Fylker,Vestfold,Delvis ledige,Menn,685,0.011,2014-05-01
Fylker,Vestfold,Helt ledige,Begge kjønn,3585,0.03,2014-05-01
Fylker,Vestfold,Helt ledige,Kvinner,1546,0.027,2014-05-01
Fylker,Vestfold,Helt ledige,Menn,2039,0.033,2014-05-01
Fylker,Vestland,Arbeidssøkere på tiltak,Begge kjønn,1523,0.005,2014-05-01
Fylker,Vestland,Arbeidssøkere på tiltak,Kvinner,815,0.005,2014-05-01
Fylker,Vestland,Arbeidssøkere på tiltak,Menn,708,0.004,2014-05-01
Fylker,Vestland,Delvis ledige,Begge kjønn,2819,0.009,2014-05-01
Fylker,Vestland,Delvis ledige,Kvinner,1703,0.011,2014-05-01
Fylker,Vestland,Delvis ledige,Menn,1116,0.006,2014-05-01
Fylker,Vestland,Helt ledige,Begge kjønn,6982,0.021,2014-05-01
Fylker,Vestland,Helt ledige,Kvinner,3092,0.02,2014-05-01
Fylker,Vestland,Helt ledige,Menn,3890,0.022,2014-05-01
Fylker,Østfold,Arbeidssøkere på tiltak,Begge kjønn,1050,0.007,2014-05-01
Fylker,Østfold,Arbeidssøkere på tiltak,Kvinner,531,0.008,2014-05-01
Fylker,Østfold,Arbeidssøkere på tiltak,Menn,519,0.007,2014-05-01
Fylker,Østfold,Delvis ledige,Begge kjønn,1925,0.014,2014-05-01
Fylker,Østfold,Delvis ledige,Kvinner,1123,0.017,2014-05-01
Fylker,Østfold,Delvis ledige,Menn,802,0.011,2014-05-01
Fylker,Østfold,Helt ledige,Begge kjønn,5321,0.038,2014-05-01
Fylker,Østfold,Helt ledige,Kvinner,2330,0.035,2014-05-01
Fylker,Østfold,Helt ledige,Menn,2991,0.04,2014-05-01
Landet,Landet,Arbeidssøkere på tiltak,Begge kjønn,15050,0.006,2014-05-01
Landet,Landet,Arbeidssøkere på tiltak,Kvinner,7524,0.006,2014-05-01
Landet,Landet,Arbeidssøkere på tiltak,Menn,7526,0.005,2014-05-01
Landet,Landet,Delvis ledige,Begge kjønn,29024,0.011,2014-05-01
Landet,Landet,Delvis ledige,Kvinner,16066,0.013,2014-05-01
Landet,Landet,Delvis ledige,Menn,12958,0.009,2014-05-01
Landet,Landet,Helt ledige,Begge kjønn,72495,0.027,2014-05-01
Landet,Landet,Helt ledige,Kvinner,30900,0.024,2014-05-01
Landet,Landet,Helt ledige,Menn,41595,0.029,2014-05-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Begge kjønn,39,0.005,2014-05-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Kvinner,20,0.006,2014-05-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Menn,19,0.005,2014-05-01
Telemark kommuner,Bamble,Delvis ledige,Begge kjønn,129,0.018,2014-05-01
Telemark kommuner,Bamble,Delvis ledige,Kvinner,82,0.024,2014-05-01
Telemark kommuner,Bamble,Delvis ledige,Menn,47,0.012,2014-05-01
Telemark kommuner,Bamble,Helt ledige,Begge kjønn,197,0.027,2014-05-01
Telemark kommuner,Bamble,Helt ledige,Kvinner,98,0.029,2014-05-01
Telemark kommuner,Bamble,Helt ledige,Menn,99,0.026,2014-05-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Begge kjønn,5,0.003,2014-05-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Kvinner,0,0.0,2014-05-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Menn,5,0.005,2014-05-01
Telemark kommuner,Drangedal,Delvis ledige,Begge kjønn,37,0.019,2014-05-01
Telemark kommuner,Drangedal,Delvis ledige,Kvinner,20,0.022,2014-05-01
Telemark kommuner,Drangedal,Delvis ledige,Menn,17,0.016,2014-05-01
Telemark kommuner,Drangedal,Helt ledige,Begge kjønn,45,0.023,2014-05-01
Telemark kommuner,Drangedal,Helt ledige,Kvinner,14,0.015,2014-05-01
Telemark kommuner,Drangedal,Helt ledige,Menn,31,0.029,2014-05-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Begge kjønn,0,0.0,2014-05-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Kvinner,0,0.0,2014-05-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Menn,0,0.0,2014-05-01
Telemark kommuner,Fyresdal,Delvis ledige,Begge kjønn,0,0.004,2014-05-01
Telemark kommuner,Fyresdal,Delvis ledige,Kvinner,0,0.009,2014-05-01
Telemark kommuner,Fyresdal,Delvis ledige,Menn,0,0.0,2014-05-01
Telemark kommuner,Fyresdal,Helt ledige,Begge kjønn,9,0.013,2014-05-01
Telemark kommuner,Fyresdal,Helt ledige,Kvinner,0,0.006,2014-05-01
Telemark kommuner,Fyresdal,Helt ledige,Menn,7,0.02,2014-05-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Begge kjønn,0,0.002,2014-05-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Kvinner,0,0.003,2014-05-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Menn,0,0.002,2014-05-01
Telemark kommuner,Hjartdal,Delvis ledige,Begge kjønn,4,0.005,2014-05-01
Telemark kommuner,Hjartdal,Delvis ledige,Kvinner,4,0.011,2014-05-01
Telemark kommuner,Hjartdal,Delvis ledige,Menn,0,0.0,2014-05-01
Telemark kommuner,Hjartdal,Helt ledige,Begge kjønn,24,0.029,2014-05-01
Telemark kommuner,Hjartdal,Helt ledige,Kvinner,10,0.027,2014-05-01
Telemark kommuner,Hjartdal,Helt ledige,Menn,14,0.032,2014-05-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Begge kjønn,14,0.003,2014-05-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Kvinner,4,0.002,2014-05-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Menn,10,0.004,2014-05-01
Telemark kommuner,Kragerø,Delvis ledige,Begge kjønn,116,0.022,2014-05-01
Telemark kommuner,Kragerø,Delvis ledige,Kvinner,75,0.03,2014-05-01
Telemark kommuner,Kragerø,Delvis ledige,Menn,41,0.015,2014-05-01
Telemark kommuner,Kragerø,Helt ledige,Begge kjønn,173,0.033,2014-05-01
Telemark kommuner,Kragerø,Helt ledige,Kvinner,69,0.028,2014-05-01
Telemark kommuner,Kragerø,Helt ledige,Menn,104,0.039,2014-05-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Begge kjønn,0,0.001,2014-05-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Kvinner,0,0.0,2014-05-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Menn,0,0.001,2014-05-01
Telemark kommuner,Kviteseid,Delvis ledige,Begge kjønn,13,0.01,2014-05-01
Telemark kommuner,Kviteseid,Delvis ledige,Kvinner,8,0.013,2014-05-01
Telemark kommuner,Kviteseid,Delvis ledige,Menn,5,0.007,2014-05-01
Telemark kommuner,Kviteseid,Helt ledige,Begge kjønn,28,0.021,2014-05-01
Telemark kommuner,Kviteseid,Helt ledige,Kvinner,12,0.02,2014-05-01
Telemark kommuner,Kviteseid,Helt ledige,Menn,16,0.022,2014-05-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Begge kjønn,14,0.003,2014-05-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Kvinner,4,0.002,2014-05-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Menn,10,0.004,2014-05-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Begge kjønn,54,0.01,2014-05-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Kvinner,30,0.012,2014-05-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Menn,24,0.009,2014-05-01
Telemark kommuner,Midt-Telemark,Helt ledige,Begge kjønn,146,0.028,2014-05-01
Telemark kommuner,Midt-Telemark,Helt ledige,Kvinner,55,0.022,2014-05-01
Telemark kommuner,Midt-Telemark,Helt ledige,Menn,91,0.033,2014-05-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Begge kjønn,0,0.004,2014-05-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Kvinner,0,0.006,2014-05-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Menn,0,0.002,2014-05-01
Telemark kommuner,Nissedal,Delvis ledige,Begge kjønn,9,0.012,2014-05-01
Telemark kommuner,Nissedal,Delvis ledige,Kvinner,6,0.018,2014-05-01
Telemark kommuner,Nissedal,Delvis ledige,Menn,0,0.007,2014-05-01
Telemark kommuner,Nissedal,Helt ledige,Begge kjønn,12,0.016,2014-05-01
Telemark kommuner,Nissedal,Helt ledige,Kvinner,6,0.018,2014-05-01
Telemark kommuner,Nissedal,Helt ledige,Menn,6,0.015,2014-05-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Begge kjønn,8,0.002,2014-05-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Kvinner,7,0.005,2014-05-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Menn,0,0.001,2014-05-01
Telemark kommuner,Nome,Delvis ledige,Begge kjønn,41,0.013,2014-05-01
Telemark kommuner,Nome,Delvis ledige,Kvinner,23,0.015,2014-05-01
Telemark kommuner,Nome,Delvis ledige,Menn,18,0.01,2014-05-01
Telemark kommuner,Nome,Helt ledige,Begge kjønn,84,0.026,2014-05-01
Telemark kommuner,Nome,Helt ledige,Kvinner,35,0.023,2014-05-01
Telemark kommuner,Nome,Helt ledige,Menn,49,0.029,2014-05-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Begge kjønn,28,0.005,2014-05-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Kvinner,19,0.007,2014-05-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Menn,9,0.003,2014-05-01
Telemark kommuner,Notodden,Delvis ledige,Begge kjønn,109,0.018,2014-05-01
Telemark kommuner,Notodden,Delvis ledige,Kvinner,65,0.022,2014-05-01
Telemark kommuner,Notodden,Delvis ledige,Menn,44,0.014,2014-05-01
Telemark kommuner,Notodden,Helt ledige,Begge kjønn,282,0.046,2014-05-01
Telemark kommuner,Notodden,Helt ledige,Kvinner,113,0.039,2014-05-01
Telemark kommuner,Notodden,Helt ledige,Menn,169,0.053,2014-05-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Begge kjønn,108,0.006,2014-05-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Kvinner,50,0.006,2014-05-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Menn,58,0.006,2014-05-01
Telemark kommuner,Porsgrunn,Delvis ledige,Begge kjønn,294,0.016,2014-05-01
Telemark kommuner,Porsgrunn,Delvis ledige,Kvinner,154,0.018,2014-05-01
Telemark kommuner,Porsgrunn,Delvis ledige,Menn,140,0.015,2014-05-01
Telemark kommuner,Porsgrunn,Helt ledige,Begge kjønn,701,0.039,2014-05-01
Telemark kommuner,Porsgrunn,Helt ledige,Kvinner,272,0.032,2014-05-01
Telemark kommuner,Porsgrunn,Helt ledige,Menn,429,0.045,2014-05-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Begge kjønn,0,0.002,2014-05-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Kvinner,0,0.001,2014-05-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Menn,0,0.003,2014-05-01
Telemark kommuner,Seljord,Delvis ledige,Begge kjønn,12,0.008,2014-05-01
Telemark kommuner,Seljord,Delvis ledige,Kvinner,9,0.013,2014-05-01
Telemark kommuner,Seljord,Delvis ledige,Menn,0,0.004,2014-05-01
Telemark kommuner,Seljord,Helt ledige,Begge kjønn,20,0.014,2014-05-01
Telemark kommuner,Seljord,Helt ledige,Kvinner,9,0.013,2014-05-01
Telemark kommuner,Seljord,Helt ledige,Menn,11,0.014,2014-05-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Begge kjønn,13,0.01,2014-05-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Kvinner,5,0.008,2014-05-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Menn,8,0.012,2014-05-01
Telemark kommuner,Siljan,Delvis ledige,Begge kjønn,15,0.012,2014-05-01
Telemark kommuner,Siljan,Delvis ledige,Kvinner,9,0.015,2014-05-01
Telemark kommuner,Siljan,Delvis ledige,Menn,6,0.009,2014-05-01
Telemark kommuner,Siljan,Helt ledige,Begge kjønn,18,0.014,2014-05-01
Telemark kommuner,Siljan,Helt ledige,Kvinner,10,0.016,2014-05-01
Telemark kommuner,Siljan,Helt ledige,Menn,8,0.012,2014-05-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Begge kjønn,138,0.005,2014-05-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Kvinner,58,0.004,2014-05-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Menn,80,0.006,2014-05-01
Telemark kommuner,Skien,Delvis ledige,Begge kjønn,465,0.017,2014-05-01
Telemark kommuner,Skien,Delvis ledige,Kvinner,262,0.02,2014-05-01
Telemark kommuner,Skien,Delvis ledige,Menn,203,0.014,2014-05-01
Telemark kommuner,Skien,Helt ledige,Begge kjønn,1058,0.039,2014-05-01
Telemark kommuner,Skien,Helt ledige,Kvinner,435,0.033,2014-05-01
Telemark kommuner,Skien,Helt ledige,Menn,623,0.044,2014-05-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Begge kjønn,7,0.002,2014-05-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Kvinner,4,0.003,2014-05-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Menn,0,0.002,2014-05-01
Telemark kommuner,Tinn,Delvis ledige,Begge kjønn,32,0.011,2014-05-01
Telemark kommuner,Tinn,Delvis ledige,Kvinner,21,0.015,2014-05-01
Telemark kommuner,Tinn,Delvis ledige,Menn,11,0.007,2014-05-01
Telemark kommuner,Tinn,Helt ledige,Begge kjønn,64,0.022,2014-05-01
Telemark kommuner,Tinn,Helt ledige,Kvinner,23,0.016,2014-05-01
Telemark kommuner,Tinn,Helt ledige,Menn,41,0.027,2014-05-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Begge kjønn,0,0.001,2014-05-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Kvinner,0,0.0,2014-05-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Menn,0,0.002,2014-05-01
Telemark kommuner,Tokke,Delvis ledige,Begge kjønn,19,0.016,2014-05-01
Telemark kommuner,Tokke,Delvis ledige,Kvinner,10,0.018,2014-05-01
Telemark kommuner,Tokke,Delvis ledige,Menn,9,0.014,2014-05-01
Telemark kommuner,Tokke,Helt ledige,Begge kjønn,14,0.012,2014-05-01
Telemark kommuner,Tokke,Helt ledige,Kvinner,0,0.005,2014-05-01
Telemark kommuner,Tokke,Helt ledige,Menn,11,0.018,2014-05-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Begge kjønn,0,0.001,2014-05-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Kvinner,0,0.002,2014-05-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Menn,0,0.001,2014-05-01
Telemark kommuner,Vinje,Delvis ledige,Begge kjønn,11,0.005,2014-05-01
Telemark kommuner,Vinje,Delvis ledige,Kvinner,5,0.005,2014-05-01
Telemark kommuner,Vinje,Delvis ledige,Menn,6,0.006,2014-05-01
Telemark kommuner,Vinje,Helt ledige,Begge kjønn,24,0.012,2014-05-01
Telemark kommuner,Vinje,Helt ledige,Kvinner,8,0.008,2014-05-01
Telemark kommuner,Vinje,Helt ledige,Menn,16,0.015,2014-05-01
Fylker,Agder,Arbeidssøkere på tiltak,Begge kjønn,555,0.004,2014-06-01
Fylker,Agder,Arbeidssøkere på tiltak,Kvinner,234,0.003,2014-06-01
Fylker,Agder,Arbeidssøkere på tiltak,Menn,321,0.004,2014-06-01
Fylker,Agder,Delvis ledige,Begge kjønn,1945,0.013,2014-06-01
Fylker,Agder,Delvis ledige,Kvinner,1070,0.015,2014-06-01
Fylker,Agder,Delvis ledige,Menn,875,0.011,2014-06-01
Fylker,Agder,Helt ledige,Begge kjønn,4506,0.03,2014-06-01
Fylker,Agder,Helt ledige,Kvinner,1979,0.028,2014-06-01
Fylker,Agder,Helt ledige,Menn,2527,0.032,2014-06-01
Fylker,Akershus,Arbeidssøkere på tiltak,Begge kjønn,1433,0.004,2014-06-01
Fylker,Akershus,Arbeidssøkere på tiltak,Kvinner,725,0.005,2014-06-01
Fylker,Akershus,Arbeidssøkere på tiltak,Menn,708,0.004,2014-06-01
Fylker,Akershus,Delvis ledige,Begge kjønn,2687,0.008,2014-06-01
Fylker,Akershus,Delvis ledige,Kvinner,1486,0.009,2014-06-01
Fylker,Akershus,Delvis ledige,Menn,1201,0.007,2014-06-01
Fylker,Akershus,Helt ledige,Begge kjønn,8069,0.024,2014-06-01
Fylker,Akershus,Helt ledige,Kvinner,3655,0.023,2014-06-01
Fylker,Akershus,Helt ledige,Menn,4414,0.026,2014-06-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Begge kjønn,649,0.005,2014-06-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Kvinner,290,0.005,2014-06-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Menn,359,0.005,2014-06-01
Fylker,Buskerud,Delvis ledige,Begge kjønn,1337,0.01,2014-06-01
Fylker,Buskerud,Delvis ledige,Kvinner,766,0.012,2014-06-01
Fylker,Buskerud,Delvis ledige,Menn,571,0.008,2014-06-01
Fylker,Buskerud,Helt ledige,Begge kjønn,3835,0.029,2014-06-01
Fylker,Buskerud,Helt ledige,Kvinner,1781,0.029,2014-06-01
Fylker,Buskerud,Helt ledige,Menn,2054,0.03,2014-06-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Begge kjønn,204,0.005,2014-06-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Kvinner,76,0.004,2014-06-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Menn,128,0.006,2014-06-01
Fylker,Finnmark,Delvis ledige,Begge kjønn,782,0.02,2014-06-01
Fylker,Finnmark,Delvis ledige,Kvinner,362,0.02,2014-06-01
Fylker,Finnmark,Delvis ledige,Menn,420,0.02,2014-06-01
Fylker,Finnmark,Helt ledige,Begge kjønn,1330,0.034,2014-06-01
Fylker,Finnmark,Helt ledige,Kvinner,503,0.028,2014-06-01
Fylker,Finnmark,Helt ledige,Menn,827,0.039,2014-06-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Begge kjønn,798,0.004,2014-06-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Kvinner,391,0.004,2014-06-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Menn,407,0.004,2014-06-01
Fylker,Innlandet,Delvis ledige,Begge kjønn,2313,0.013,2014-06-01
Fylker,Innlandet,Delvis ledige,Kvinner,1323,0.015,2014-06-01
Fylker,Innlandet,Delvis ledige,Menn,990,0.01,2014-06-01
Fylker,Innlandet,Helt ledige,Begge kjønn,4628,0.025,2014-06-01
Fylker,Innlandet,Helt ledige,Kvinner,2079,0.024,2014-06-01
Fylker,Innlandet,Helt ledige,Menn,2549,0.026,2014-06-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Begge kjønn,479,0.004,2014-06-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Kvinner,223,0.004,2014-06-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Menn,256,0.003,2014-06-01
Fylker,Møre og Romsdal,Delvis ledige,Begge kjønn,1350,0.01,2014-06-01
Fylker,Møre og Romsdal,Delvis ledige,Kvinner,790,0.013,2014-06-01
Fylker,Møre og Romsdal,Delvis ledige,Menn,560,0.008,2014-06-01
Fylker,Møre og Romsdal,Helt ledige,Begge kjønn,2924,0.021,2014-06-01
Fylker,Møre og Romsdal,Helt ledige,Kvinner,1319,0.021,2014-06-01
Fylker,Møre og Romsdal,Helt ledige,Menn,1605,0.022,2014-06-01
Fylker,Nordland,Arbeidssøkere på tiltak,Begge kjønn,439,0.004,2014-06-01
Fylker,Nordland,Arbeidssøkere på tiltak,Kvinner,188,0.003,2014-06-01
Fylker,Nordland,Arbeidssøkere på tiltak,Menn,251,0.004,2014-06-01
Fylker,Nordland,Delvis ledige,Begge kjønn,1869,0.015,2014-06-01
Fylker,Nordland,Delvis ledige,Kvinner,1056,0.018,2014-06-01
Fylker,Nordland,Delvis ledige,Menn,813,0.013,2014-06-01
Fylker,Nordland,Helt ledige,Begge kjønn,3379,0.028,2014-06-01
Fylker,Nordland,Helt ledige,Kvinner,1386,0.024,2014-06-01
Fylker,Nordland,Helt ledige,Menn,1993,0.031,2014-06-01
Fylker,Oslo,Arbeidssøkere på tiltak,Begge kjønn,2101,0.006,2014-06-01
Fylker,Oslo,Arbeidssøkere på tiltak,Kvinner,1147,0.007,2014-06-01
Fylker,Oslo,Arbeidssøkere på tiltak,Menn,954,0.005,2014-06-01
Fylker,Oslo,Delvis ledige,Begge kjønn,3570,0.01,2014-06-01
Fylker,Oslo,Delvis ledige,Kvinner,1678,0.01,2014-06-01
Fylker,Oslo,Delvis ledige,Menn,1892,0.01,2014-06-01
Fylker,Oslo,Helt ledige,Begge kjønn,12663,0.035,2014-06-01
Fylker,Oslo,Helt ledige,Kvinner,5615,0.033,2014-06-01
Fylker,Oslo,Helt ledige,Menn,7048,0.038,2014-06-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Begge kjønn,689,0.003,2014-06-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Kvinner,335,0.003,2014-06-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Menn,354,0.003,2014-06-01
Fylker,Rogaland,Delvis ledige,Begge kjønn,1676,0.007,2014-06-01
Fylker,Rogaland,Delvis ledige,Kvinner,1001,0.009,2014-06-01
Fylker,Rogaland,Delvis ledige,Menn,675,0.005,2014-06-01
Fylker,Rogaland,Helt ledige,Begge kjønn,5175,0.021,2014-06-01
Fylker,Rogaland,Helt ledige,Kvinner,2336,0.02,2014-06-01
Fylker,Rogaland,Helt ledige,Menn,2839,0.021,2014-06-01
Fylker,Telemark,Arbeidssøkere på tiltak,Begge kjønn,281,0.003,2014-06-01
Fylker,Telemark,Arbeidssøkere på tiltak,Kvinner,112,0.003,2014-06-01
Fylker,Telemark,Arbeidssøkere på tiltak,Menn,169,0.004,2014-06-01
Fylker,Telemark,Delvis ledige,Begge kjønn,1361,0.016,2014-06-01
Fylker,Telemark,Delvis ledige,Kvinner,791,0.019,2014-06-01
Fylker,Telemark,Delvis ledige,Menn,570,0.013,2014-06-01
Fylker,Telemark,Helt ledige,Begge kjønn,2992,0.034,2014-06-01
Fylker,Telemark,Helt ledige,Kvinner,1234,0.03,2014-06-01
Fylker,Telemark,Helt ledige,Menn,1758,0.039,2014-06-01
Fylker,Troms ,Arbeidssøkere på tiltak,Begge kjønn,233,0.003,2014-06-01
Fylker,Troms ,Arbeidssøkere på tiltak,Kvinner,90,0.002,2014-06-01
Fylker,Troms ,Arbeidssøkere på tiltak,Menn,143,0.003,2014-06-01
Fylker,Troms ,Delvis ledige,Begge kjønn,1011,0.012,2014-06-01
Fylker,Troms ,Delvis ledige,Kvinner,494,0.012,2014-06-01
Fylker,Troms ,Delvis ledige,Menn,517,0.011,2014-06-01
Fylker,Troms ,Helt ledige,Begge kjønn,1954,0.023,2014-06-01
Fylker,Troms ,Helt ledige,Kvinner,816,0.02,2014-06-01
Fylker,Troms ,Helt ledige,Menn,1138,0.025,2014-06-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Begge kjønn,739,0.003,2014-06-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Kvinner,307,0.003,2014-06-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Menn,432,0.003,2014-06-01
Fylker,Trøndelag,Delvis ledige,Begge kjønn,2764,0.012,2014-06-01
Fylker,Trøndelag,Delvis ledige,Kvinner,1585,0.014,2014-06-01
Fylker,Trøndelag,Delvis ledige,Menn,1179,0.009,2014-06-01
Fylker,Trøndelag,Helt ledige,Begge kjønn,5774,0.025,2014-06-01
Fylker,Trøndelag,Helt ledige,Kvinner,2549,0.023,2014-06-01
Fylker,Trøndelag,Helt ledige,Menn,3225,0.026,2014-06-01
