Navn,Org. nr.,Overordnet enhet,Antall ansatte,firfirmaid,Bedriftsstatus,Organisasjonsform,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,Nace_1_navn,Nace_5_navn,Nace_5_nr,Y (UTM33),X (UTM33),load_date,Lon,Lat
Enfy AS,931021656,931002279,5.0,17075276,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,5-9,,,2023-03-06,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Annen teknisk konsulentvirksomhet,71.129,6617612.800000001,176381.1799999997,2026-08-05 03:37:01,"9,26738930570685","59,570996402414316"
Kosta Milic,931019996,,0.0,17075153,1,Enkeltpersonforetak,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-03-14,Personlig næringsdrivende,Privat sektor,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,62.200,6620493.34,176679.4400000004,2026-08-05 03:37:01,"9,26825088916912","59,59696446615399"
Moen 9 AS,931019368,,0.0,17075105,1,Aksjeselskap,931739719,Moheim Næringspark AS,931739719,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2023-01-17,Private aksjeselskaper mv.,Privat sektor,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6567791.01,193752.9400000004,2026-08-05 03:37:01,"9,64431133761935","59,13864841690953"
Tindetoppen AS,831029552,930749907,0.0,17074876,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-02-01,,,Forretningsmessig tjenesteyting,Utleie og leasing av landbruksmaskiner og -utstyr,77.310,6618222.970000001,172854.24000000022,2026-08-05 03:37:01,"9,204341616012146","59,57370514906927"
La Vela AS,831017562,930908088,5.0,17074786,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,5-9,,,2023-01-01,,,Overnattings- og serveringsvirksomhet,Drift av restauranter,56.110,6545049.85,187212.75,2026-08-05 03:37:01,"9,562817922190991","58,93058826796267"
Grenland Omsorg AS,931014471,,0.0,17074556,1,Aksjeselskap,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2023-03-02,Private aksjeselskaper mv.,Privat sektor,Helse- og sosialtjenester,Andre sosialtjenester uten botilbud ellers,88.996,6568273.92,194888.25999999978,2026-08-05 03:37:01,"9,663392322553545","59,1437817695305"
Orgelkids Norge,931012363,930948799,0.0,17074394,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,2023-03-13,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6600800.880000001,162715.7999999998,2026-08-05 03:37:01,"9,053366644506369","59,41005279571885"
BIG Mama,931011251,931009095,0.0,17074313,9,,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2023-03-13,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6587986.35,164433.65000000037,2026-08-05 03:37:01,"9,10341871415846","59,29695990240334"
Carglass AS,931009249,985758220,1.0,17074173,1,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-03-01,,,Annen tjenesteyting,Reparasjon og vedlikehold av motorvogner,95.310,6617377.33,173753.86000000034,2026-08-05 03:37:01,"9,221484356410679","59,56685250775266"
DM Energy AS,931008609,920835163,5.0,17074132,1,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,5-9,,,2022-10-01,,,Industri,Bearbeiding av metaller,25.530,6616981.48,173861.75999999978,2026-08-05 03:37:01,"9,223992103098528","59,56339998724786"
Nystrand Holdings,930989916,,0.0,17074033,1,Enkeltpersonforetak,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-13,Personlig næringsdrivende,Privat sektor,Overnattings- og serveringsvirksomhet,Catering for arrangementer,56.210,6561511.75,195159.03000000026,2026-08-05 03:37:01,"9,677513610660053","59,0835106719636"
Sofie Dahl Hanssen,831016922,931015141,0.0,17073951,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-07,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,90.201,6563212.869999999,195210.8700000001,2026-08-05 03:37:01,"9,676051299055217","59,09875875149958"
Sameiet Lyngmovegen 36-42,831014202,930949299,0.0,17073935,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Vihe Holding AS,931007254,930753300,0.0,17073834,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2022-12-29,,,Bygge- og anleggsvirksomhet,Oppføring av bygninger,41.000,6572727.380000001,193368.1200000001,2026-08-05 03:37:01,"9,630684531292903","59,18250768469538"
Øystein Kåsa Eigedom AS,931004050,930748838,0.0,17073583,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,,,2023-01-13,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6611288.82,139575.83999999985,2026-08-05 03:37:01,"8,63056302306268","59,4844953429821"
Lukasz Kaczmarek,931002864,,0.0,17073492,1,Enkeltpersonforetak,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-03-10,Personlig næringsdrivende,Privat sektor,Bygge- og anleggsvirksomhet,Snekkerarbeid,43.320,6617042.85,176302.38999999966,2026-08-05 03:37:01,"9,266870632753891","59,5658430046788"
Bjørnelykke B-Lucky,930999601,,0.0,17073248,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-03-10,Personlig næringsdrivende,Privat sektor,"Utgivelse, kringkasting, innholdsproduksjon og distribusjonsvirksomhet",Annen virksomhet for distribuering av innhold,60.390,6570585.0,193904.7000000002,2026-08-05 03:37:01,"9,64303824529314","59,16373927226937"
Vy Taxi AS,930999091,,0.0,17073211,1,Aksjeselskap,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2022-12-05,Private aksjeselskaper mv.,Privat sektor,Transport og lagring,Drift av gods- og transportsentraler,52.211,6567558.630000001,194988.08000000007,2026-08-05 03:37:01,"9,666127156292884","59,13745753822763"
Solbakkens Holding AS,930996351,930743143,0.0,17072853,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-01-01,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6581358.720000001,193375.5700000003,2026-08-05 03:37:01,"9,618644710073873","59,25968439009152"
Solsiden Panorama AS,930995010,,,17072749,1,Aksjeselskap,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,0.0,0.0,2023-02-01,Private aksjeselskaper mv.,Privat sektor,Eiendomsvirksomhet,Utvikling og salg av byggeprosjekter,68.120,6623326.17,162620.23000000045,2026-08-05 03:37:01,"9,016046085363731","59,611155810878884"
Yodit Maesho Gebrehiwet,930993530,930838985,0.0,17072632,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-02-12,,,Transport og lagring,Andre post- og budtjenester,53.200,6573327.460000001,192138.84999999963,2026-08-05 03:37:01,"9,608421988395264","59,186983875974605"
Lifjell Holding AS,930992194,,,17072529,1,Aksjeselskap,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2023-02-03,Private aksjeselskaper mv.,Privat sektor,Varehandel,Detaljhandel med motorvogner,47.810,6601215.1,164932.03000000026,2026-08-05 03:37:01,"9,091552508421966","59,41552192963549"
Nadiia Dushko,930992143,930738212,0.0,17072525,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-01-16,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Arkitektvirksomhet,71.110,6567333.800000001,194088.76999999955,2026-08-05 03:37:01,"9,650794153583277","59,134801866769024"
E Engvoldsen Gartner og Vaktmestertjenester,930988014,930734098,0.0,17072213,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2023-01-20,,,Forretningsmessig tjenesteyting,Beplantning av hager og parkanlegg,81.300,6542489.1,176067.46999999974,2026-08-05 03:37:01,"9,37387481668741","58,899434846656725"
Bertalan Lörincz,930486787,,0.0,17072098,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-03-09,Personlig næringsdrivende,Privat sektor,Annen tjenesteyting,Andre personlige tjenester ikke nevnt annet sted,96.990,6575692.58,192445.5599999996,2026-08-05 03:37:01,"9,610426529173791","59,20835180956596"
Hallovenn Bø,930985546,930928771,0.0,17071859,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,2023-03-08,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6603597.75,160920.28000000026,2026-08-05 03:37:01,"9,017488547489226","59,43359033127879"
Akkodis Edge Norway AS,930984736,940456584,1.0,17071797,1,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2023-03-01,,,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Dataprogrammeringstjenester,62.100,6588256.460000001,164437.5499999998,2026-08-05 03:37:01,"9,103067888323995","59,29937580539135"
Gulvlegger & Maler Jarle W Pedersen,930984728,930730769,0.0,17071796,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-01-16,,,Bygge- og anleggsvirksomhet,Gulvlegging og tapetsering,43.330,6567198.609999999,193514.66999999993,2026-08-05 03:37:01,"9,640995510626356","59,13318015200678"
Teia AS,930984388,930982199,0.0,17071769,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4028,4028,Kviteseid,KVITESEID,0-1,,,2023-03-01,,,,,00.000,6603172.279999999,130725.88999999966,2026-08-05 03:37:01,"8,489316504823588","59,40439253992078"
Dahlene Kasin Motor & Utleie,930982474,930727431,0.0,17071627,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-01-12,,,Bygge- og anleggsvirksomhet,Grunnarbeid,43.120,6616661.92,175069.4500000002,2026-08-05 03:37:01,"9,245743986579742","59,56148414696192"
Olstad Bygg og Varme,930981273,930723738,0.0,17071544,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2023-01-13,,,Varehandel,Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg,47.920,6556298.140000001,195870.25,2026-08-05 03:37:01,"9,6970808367263","59,03739800297959"
Industriveien3 AS,930981141,930671584,0.0,17071532,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2022-11-24,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6543397.0600000005,169180.5499999998,2026-08-05 03:37:01,"9,253597726210243","58,902301489066325"
Lars Kristian Berget,930981060,830708642,0.0,17071525,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-01-01,,,Forretningsmessig tjenesteyting,Utleie og leasing av biler og andre lette motorvogner,77.110,6620531.25,167908.5700000003,2026-08-05 03:37:01,"9,113644268850585","59,59042790034236"
4Dsign Interiørarkitekt & Lysdesign Tjønneng-Haukås,930980021,930723363,0.0,17071450,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-01-26,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Interiørdesignvirksomhet,74.130,6566778.32,194017.5599999996,2026-08-05 03:37:01,"9,65033203566446","59,12978396154423"
Moonlight By Amlie,930979716,930594008,0.0,17071424,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-01-01,,,Varehandel,Annen detaljhandel med andre nye varer,47.780,6562615.15,196109.88999999966,2026-08-05 03:37:01,"9,69250510822758","59,094055804392156"
Martin Waasjø Wiig,930978760,930714666,0.0,17071346,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2023-01-12,,,Forretningsmessig tjenesteyting,Kombinerte tjenester tilknyttet eiendomsdrift,81.100,6546582.380000001,173578.1900000004,2026-08-05 03:37:01,"9,324868012014361","58,93413176722116"
Pablo Bygg Oleksiewicz,930883123,,0.0,17071189,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-03-08,Personlig næringsdrivende,Privat sektor,Bygge- og anleggsvirksomhet,Snekkerarbeid,43.320,6575556.4,192384.00999999978,2026-08-05 03:37:01,"9,609545902641027","59,20708967234354"
Kalstadveien 1 AS,830980822,930724289,0.0,17071106,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2022-10-21,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6538832.630000001,177071.0599999996,2026-08-05 03:37:01,"9,396513717343876","58,867509375237795"
Gode Opplevelser,930976881,930974773,0.0,17071020,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-03-07,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6574490.130000001,188349.26999999955,2026-08-05 03:37:01,"9,540738951848802","59,19461467013615"
Hjartdalskoret,930976822,930895598,0.0,17071015,9,,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,,,2023-03-07,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,90.201,6624566.98,157929.98000000045,2026-08-05 03:37:01,"8,931390216671021","59,6184220739394"
Drangedal Miljøpartiet de Grønne,930976628,830841652,0.0,17070998,9,,,,,Telemark,Telemark,4016,4016,Drangedal,DRANGEDAL,0-1,,,2023-03-07,,,Annen tjenesteyting,Aktiviteter i partipolitiske organisasjoner,94.920,6572275.220000001,157768.91000000015,2026-08-05 03:37:01,"9,011765698137866","59,151303439129045"
Rom Elektro Mortensen,930975389,,0.0,17070900,1,Enkeltpersonforetak,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-07,Personlig næringsdrivende,Privat sektor,"Faglig, vitenskapelig og teknisk tjenesteyting",Byggeteknisk konsulentvirksomhet,71.121,6557233.890000001,197834.21999999974,2026-08-05 03:37:01,"9,72987303041771","59,0471593972177"
Pubilsher Adviser,930972568,930709212,0.0,17070684,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-01-03,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Bedriftsrådgivning og annen administrativ rådgivning,70.200,6570501.49,194533.4400000004,2026-08-05 03:37:01,"9,654103140893003","59,16344474805167"
Vebjørn Kåsa,930972193,930712434,0.0,17070656,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4016,4016,Drangedal,DRANGEDAL,0-1,,,2023-01-11,,,"Jordbruk, skogbruk og fiske",Tjenester tilknyttet skogbruk,02.400,6573752.49,157154.1200000001,2026-08-05 03:37:01,"8,998758227178271","59,164002307414165"
Johan Berg Psykologspesialist,930971758,930712086,,17070624,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2023-01-02,,,Helse- og sosialtjenester,"Psykolog- og psykoterapitjenester, unntatt legetjenester innenfor psykiatri",86.930,6586584.609999999,173236.75,2026-08-05 03:37:01,"9,259311784125346","59,29132769426583"
Bø Montasje AS,930969680,932985152,0.0,17070463,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,2023-01-11,,,,,00.000,6600176.43,163980.0,2026-08-05 03:37:01,"9,076494462696402","59,405485745324384"
Falch Events,930968749,,0.0,17070388,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-03-07,Personlig næringsdrivende,Privat sektor,"Kulturell virksomhet, idrett og fritidsaktiviteter",Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,90.390,6576261.8100000005,192041.58000000007,2026-08-05 03:37:01,"9,602578054985036","59,21314811056352"
Musiker Thomas Wiersdalen Olsen,930968552,,0.0,17070375,1,Enkeltpersonforetak,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-07,Personlig næringsdrivende,Privat sektor,"Kulturell virksomhet, idrett og fritidsaktiviteter",Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,90.201,6561362.970000001,202507.33000000007,2026-08-05 03:37:01,"9,805398250317348","59,08736909321392"
B. Saubrekka Rådgivning,930968315,,0.0,17070360,1,Enkeltpersonforetak,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-07,Personlig næringsdrivende,Privat sektor,Eiendomsvirksomhet,Eiendomsforvaltning på oppdrag,68.320,6567886.859999999,193941.6299999999,2026-08-05 03:37:01,"9,647460371535095","59,13964116665028"
Lobowolf AS,930968129,930636320,0.0,17070346,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2022-11-17,,,Varehandel,Detaljhandel med motorvogner,47.810,6541657.25,175168.4500000002,2026-08-05 03:37:01,"9,359562637719312","58,89132167426582"
Olav Nørstrud,930967858,930707570,0.0,17070325,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-01-01,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6622071.140000001,166704.86000000034,2026-08-05 03:37:01,"9,090018081923906","59,603224586024055"
Bobben Spiseri og Vinbar AS,930967564,930570958,16.0,17070303,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,15-19,,,2022-10-27,,,Overnattings- og serveringsvirksomhet,Drift av restauranter,56.110,6552024.050000001,198438.3799999999,2026-08-05 03:37:01,"9,747486282038595","59,00099563687349"
Vev-Berit Vareide,930967505,930707414,0.0,17070298,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,,,2023-01-02,,,Industri,Produksjon av tekstiler ikke nevnt annet sted,13.990,6624221.93,104422.99000000022,2026-08-05 03:37:01,"7,9904708768947525","59,568150674184054"
Bartek Import Tor Ekeland,930967262,930672661,0.0,17070278,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-01-25,,,Varehandel,Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg,47.920,6571555.029999999,194529.88999999966,2026-08-05 03:37:01,"9,652566875686778","59,17286223606034"
Snap Design Halvorsen,930964891,977160642,0.0,17070097,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,1997-01-15,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Reklamebyråvirksomhet,73.110,6566841.380000001,193474.41000000015,2026-08-05 03:37:01,"9,640795528544436","59,12995710601535"
Grenland Multimaling av Fagmann Fredrik Lavik,930964557,,0.0,17070069,1,Enkeltpersonforetak,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2023-03-07,Personlig næringsdrivende,Privat sektor,Bygge- og anleggsvirksomhet,Maler- og glassarbeid,43.340,6557282.960000001,195828.3099999996,2026-08-05 03:37:01,"9,694992611726281","59,046174521701886"
VT Forvaltning Pål Buer,930964093,930693502,0.0,17070030,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-01-01,,,Annen tjenesteyting,Andre personlige tjenester ikke nevnt annet sted,96.990,6566721.48,193499.78000000026,2026-08-05 03:37:01,"9,641404765266289","59,128903320606945"
Barrow Fikser Greier,930962201,930699675,0.0,17069887,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-01-09,,,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,62.200,6577036.9399999995,189256.7000000002,2026-08-05 03:37:01,"9,552916078826815","59,21804761980331"
Qmatec Eiendom AS,930962023,830699562,0.0,17069873,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,,,2023-01-01,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6624497.380000001,104713.54999999981,2026-08-05 03:37:01,"7,995062222027224","59,57088015094763"
Oesk Holding AS,830975942,,,17069601,1,Aksjeselskap,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2023-02-22,Private aksjeselskaper mv.,Privat sektor,,,00.000,6561288.59,194556.91000000015,2026-08-05 03:37:01,"9,667363736536426","59,081084507687606"
Notodden Kommunale Eiendomsutvikling AS,830964002,,,17069515,1,Aksjeselskap,938583986,Notodden Kommune,938583986,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,2022-11-30,Kommunale aksjeselskaper mv.,Privat sektor,Eiendomsvirksomhet,Utvikling og salg av byggeprosjekter,68.120,6616432.390000001,175892.78000000026,2026-08-05 03:37:01,"9,260589610355247","59,560071645661175"
Marte Nerdahl,930958964,925621137,0.0,17069410,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2020-10-01,,,Undervisning,Undervisning innenfor idrett og rekreasjon,85.510,6573652.07,192835.0499999998,2026-08-05 03:37:01,"9,620094800225425","59,19039012757257"
Haraldsgate Borettslag,930958859,930956244,0.0,17069400,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-06,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Kristin Rustad Hansen,930957690,,0.0,17069312,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-03-06,Personlig næringsdrivende,Privat sektor,"Kulturell virksomhet, idrett og fritidsaktiviteter",Skapende kunstnerisk virksomhet innenfor visuell kunst,90.120,6571398.41,194538.8700000001,2026-08-05 03:37:01,"9,652942530362978","59,17146830215928"
Bilvask 1,930957682,930931446,0.0,17069311,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-02-22,,,Annen tjenesteyting,Reparasjon og vedlikehold av motorvogner,95.310,6569249.17,192523.54000000004,2026-08-05 03:37:01,"9,620870034040989","59,15079931031186"
Angar Transport Hasib,930957496,,0.0,17069297,1,Enkeltpersonforetak,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-03-06,Personlig næringsdrivende,Privat sektor,Transport og lagring,Andre post- og budtjenester,53.200,6567184.25,194476.34999999963,2026-08-05 03:37:01,"9,657746166969233","59,133743032666324"
Torblaa Drift AS,930956430,930926825,0.0,17069212,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2023-03-06,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6631095.109999999,159846.25999999978,2026-08-05 03:37:01,"8,954650629133422","59,67828248060846"
Mjølner Bygg & Rehab AS,930955531,930922617,1.0,17069140,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2023-02-10,,,Bygge- og anleggsvirksomhet,Oppføring av bygninger,41.000,6561554.98,195515.74000000022,2026-08-05 03:37:01,"9,683650737914213","59,084152017379935"
Vinje Bukken AS,930954497,,0.0,17069060,1,Aksjeselskap,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,0.0,0.0,2023-02-19,Private aksjeselskaper mv.,Privat sektor,Varehandel,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.520,6624548.140000001,104401.16000000015,2026-08-05 03:37:01,"7,9894798385542085","59,57103745714648"
Tommy Vadder Hansen,930953962,,0.0,17069017,1,Enkeltpersonforetak,,,,Telemark,Telemark,4034,4034,Tokke,TOKKE,0-1,,,2023-03-06,Personlig næringsdrivende,Privat sektor,"Jordbruk, skogbruk og fiske",Tjenester tilknyttet skogbruk,02.400,6624486.91,94106.11000000034,2026-08-05 03:37:01,"7,808802233655768","59,5606383548282"
Sustaintech Munin AS,930952753,,,17068928,1,Aksjeselskap,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2023-01-20,Private aksjeselskaper mv.,Privat sektor,"Faglig, vitenskapelig og teknisk tjenesteyting","Industri-, produkt- og motedesignvirksomhet",74.110,6558250.93,195535.9299999997,2026-08-05 03:37:01,"9,688579218491727","59,054621821531896"
Visted Sau og Hund,930951854,930693081,,17068860,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6600449.9,174858.83999999985,2026-08-05 03:37:01,"9,266725169413684","59,416468926586695"
Thure Holding AS,930887528,,0.0,17068709,1,Aksjeselskap,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2022-12-01,Private aksjeselskaper mv.,Privat sektor,,,00.000,6576186.9,192548.49000000022,2026-08-05 03:37:01,"9,611522705044889","59,212845923798895"
