Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Skien kommune,938759839,,7219,6500,Kommuneforvaltningen,,Skien,Skien,Kommune,84.110,Generell offentlig administrasjon,,,,
Porsgrunn kommune,939991034,,4905,6500,Kommuneforvaltningen,,Porsgrunn,Porsgrunn,Kommune,84.110,Generell offentlig administrasjon,,,,
Sykehuset Telemark hf,983975267,,4487,6100,Statsforvaltningen,,Skien,Skien,Annet foretak iflg. særskilt lov,86.101,Alminnelige somatiske sykehus,86.105,Institusjoner i psykisk helsevern for barn og unge,,
Skien kommune - helse og velferd,986433007,938759839,3780,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Notodden kommune,938583986,,2408,6500,Kommuneforvaltningen,,Notodden,Notodden,Kommune,84.110,Generell offentlig administrasjon,,,,
Skien kommune - oppvekst,974636247,938759839,2404,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Telemark fylkeskommune,929882989,,2121,6500,Kommuneforvaltningen,,Skien,Skien,Fylkeskommune,84.110,Generell offentlig administrasjon,,,,
Midt-Telemark kommune,920297293,,1873,6500,Kommuneforvaltningen,,Midt-Telemark,,Kommune,84.110,Generell offentlig administrasjon,,,,
Kragerø kommune,963946902,,1571,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Kommune,84.110,Generell offentlig administrasjon,,,,
Notodden kommune seksjon for helse- og omsorgstjenester,876821052,938583986,1189,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Nome kommune,964963371,,1178,6500,Kommuneforvaltningen,,Nome,,Kommune,84.110,Generell offentlig administrasjon,,,,
Tinn kommune,864963552,,965,6500,Kommuneforvaltningen,,Tinn,Tinn,Kommune,84.110,Generell offentlig administrasjon,,,,
Vinje kommune,964964610,,939,6500,Kommuneforvaltningen,,Vinje,,Kommune,84.110,Generell offentlig administrasjon,,,,
Notodden kommune seksjon for oppvekst,974636255,938583986,827,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Kragerø kommune helse og omsorg,974640783,963946902,801,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Landbrukstjenester Telemark sa,971325429,,701,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Samvirkeforetak,01.620,Tjenester tilknyttet husdyrhold,,,,
Eramet norway AS,980518647,,677,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,24.102,Produksjon av ferrolegeringer,,,,
Drangedal kommune,933277461,,672,6500,Kommuneforvaltningen,,Drangedal,,Kommune,84.110,Generell offentlig administrasjon,,,,
Seljord kommune,964963738,,647,6500,Kommuneforvaltningen,,Seljord,Seljord,Kommune,84.110,Generell offentlig administrasjon,,,,
Nome kommune helse- og omsorgsetaten,974640848,964963371,641,6500,Kommuneforvaltningen,,Nome,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Nav Vestfold og Telemark,974241730,991012133,609,6100,Statsforvaltningen,,Skien,Skien,Organisasjonsledd,84.300,Trygdeordninger underlagt offentlig forvaltning,,,,
Kragerø kommune oppvekst,874636282,963946902,533,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Tokke kommune,964964521,,531,6500,Kommuneforvaltningen,,Tokke,Tokke,Kommune,84.110,Generell offentlig administrasjon,,,,
"Skien kommune - byutvikling, drift og kultur",974640686,938759839,531,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Kviteseid kommune,964963827,,463,6500,Kommuneforvaltningen,,Kviteseid,,Kommune,84.110,Generell offentlig administrasjon,,,,
Lede AS,979422679,,422,1120,Statlig eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.130,Distribusjon av elektrisitet,35.140,Handel med elektrisitet,,
Nissedal kommune,964964343,,412,6500,Kommuneforvaltningen,,Nissedal,,Kommune,84.110,Generell offentlig administrasjon,,,,
Grep arbeid AS,928214311,,379,1520,Kommunalt eide aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,,,,
Rtc offshore AS,913164776,,369,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Siljan kommune,864953042,,353,6500,Kommuneforvaltningen,,Siljan,Siljan,Kommune,84.110,Generell offentlig administrasjon,,,,
Inovyn norge AS,981701046,,352,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,20.130,Produksjon av andre uorganiske kjemikalier,20.160,Produksjon av basisplast,,
Nome kommune oppvekstetaten,974636301,964963371,352,6500,Kommuneforvaltningen,,Nome,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Stena recycling AS,983594506,,338,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,38.320,Sortering og bearbeiding av avfall for materialgjenvinning,,,,
Fyresdal kommune,939772766,,338,6500,Kommuneforvaltningen,,Fyresdal,,Kommune,84.110,Generell offentlig administrasjon,,,,
Drangedal kommune sektor for helse og velferd,994971395,933277461,326,6500,Kommuneforvaltningen,,Drangedal,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Eiffage norge,926049860,,302,2100,Private aksjeselskaper mv.,,Porsgrunn,Oslo,Norskregistrert utenlandsk foretak,41.200,Oppføring av bygninger,,,,
Seljord kommune helse- og omsorgssektor,974640996,964963738,302,6500,Kommuneforvaltningen,,Seljord,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Rtc consultancy AS,918523480,,286,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Ts group AS,988251399,,284,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Maskineriet AS,912580202,,276,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,82.202,Telefonsalg,,,,
Hjartdal kommune,964963649,,270,6500,Kommuneforvaltningen,,Hjartdal,,Kommune,84.110,Generell offentlig administrasjon,,,,
Seljord kommune undervisningssektoren,974636352,964963738,267,6500,Kommuneforvaltningen,,Seljord,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Drangedal kommune sektor for kunnskap mangfold og kultur,994971263,933277461,262,6500,Kommuneforvaltningen,,Drangedal,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Nel hydrogen electrolyser AS,912185877,,248,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,27.900,Produksjon av annet elektrisk utstyr,,,,
Tango drift AS,981240987,,247,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,96.020,Frisering og annen skjønnhetspleie,,,,
Skien kommune - organisasjon og utvikling,974644002,938759839,243,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Ineos rafnes AS,982726387,,237,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,20.140,Produksjon av andre organiske kjemiske råvarer,,,,
Blå kors klinikk Skien AS,971450231,,230,7000,Ideelle organisasjoner,,Skien,Skien,Aksjeselskap,86.106,Rusmiddelinstitusjoner,88.911,Barnehager,,
Kviteseid kommune sektor for helse og omsorg,874641022,964963827,228,6500,Kommuneforvaltningen,,Kviteseid,Kviteseid,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Grenland brann og redning iks,925739251,,222,6500,Kommuneforvaltningen,,Porsgrunn,Porsgrunn,Interkommunalt selskap,84.250,Brannvern,,,,
Tokke kommune helse og omsorgsetaten,974641119,964964521,221,6500,Kommuneforvaltningen,,Tokke,Tokke,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Ulefos AS,981083032,,216,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,24.510,Støping av jern,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,
Millba AS,980786706,,208,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,,,,
Westcontrol berget AS,945662506,,203,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,25.620,Bearbeiding av metaller,27.320,Produksjon av andre elektroniske og elektriske ledninger og kabler,26.110,Produksjon av elektroniske komponenter
Gausta ski & resort AS,891680422,,196,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",93.110,Drift av idrettsanlegg,,
Enrx AS,930400580,,194,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,27.110,"Produksjon av elektromotorer, generatorer og transformatorer",,,,
Set linings international s. a.,993823317,,190,,,,Porsgrunn,,Norskregistrert utenlandsk foretak,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Vivaserve AS,933603628,,186,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.320,Snekkerarbeid,,,,
Kragerø kommune samfunn,987965428,963946902,186,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Nissedal kommune eining for velferd,974641054,964964343,185,6500,Kommuneforvaltningen,,Nissedal,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Tokke kommune - oppvekst,974636395,964964521,179,6500,Kommuneforvaltningen,,Tokke,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Siljan kommune avd for oppvekst,974636263,864953042,173,6500,Kommuneforvaltningen,,Siljan,Siljan,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Isola AS,928764745,,169,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,23.990,Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted,22.230,Produksjon av byggevarer av plast,,
Skagerak energi AS,980495302,,169,1120,Statlig eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.111,Produksjon av elektrisitet fra vannkraft,,,,
Stiftelsen betanien hospital Skien,981275721,,169,7000,Ideelle organisasjoner,,Skien,,Stiftelse,86.101,Alminnelige somatiske sykehus,88.911,Barnehager,,
Nome kommune etat for sammfunnsutvikling,974640864,964963371,164,6500,Kommuneforvaltningen,,Nome,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Nissedal kommune eining for oppvekst og kultur,886705352,964964343,164,6500,Kommuneforvaltningen,,Nissedal,,Organisasjonsledd,85.601,Pedagogisk-psykologisk rådgivningstjeneste,,,,
Premator surface pro AS,934353854,,161,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,25.610,Overflatebehandling av metaller,,,,
Nis consulting AS,919160608,,160,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Skagerak kraft AS,979563531,,158,1120,Statlig eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.111,Produksjon av elektrisitet fra vannkraft,,,,
Notodden kommune seksjon for samfunnsutvikling og tekniske tjene,974640716,938583986,158,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Ineos Bamble AS,968144405,,153,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,20.160,Produksjon av basisplast,,,,
Quality skjærgården hotel og badepark AS,959310459,,153,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Skien fritidspark kf,990522839,938759839,152,6500,Kommuneforvaltningen,,Skien,,Kommunalt foretak,93.110,Drift av idrettsanlegg,,,,
Skagerrak sparebank,937891245,,151,3200,Banker,,Porsgrunn,Bamble,Sparebank,64.190,Bankvirksomhet ellers,,,,
Laugstol AS,964715378,,145,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,62.010,Programmeringstjenester,,
Bypost AS,989383167,,143,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,53.200,Andre post- og budtjenester,,,,
Elektro 4 AS,881489392,,136,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Fyresdal kommune sektor for helse og omsorg,987914386,939772766,136,6500,Kommuneforvaltningen,,Fyresdal,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Siljan kommune avd for helse,976635221,864953042,136,6500,Kommuneforvaltningen,,Siljan,Siljan,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Sac drift AS,919767367,,135,2100,Private aksjeselskaper mv.,,Hjartdal,,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Forbrukertilsynet,974761335,972417793,129,6100,Statsforvaltningen,,Porsgrunn,Skien,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Pasientreiser hf,918695079,,127,6100,Statsforvaltningen,,Skien,Skien,Annet foretak iflg. særskilt lov,86.101,Alminnelige somatiske sykehus,,,,
Fyresdal kommune sektor for kultur og oppvekst,974636387,939772766,126,6500,Kommuneforvaltningen,,Fyresdal,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Erik tanche nilssen AS,819075832,,125,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,46.499,Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted,18.120,Trykking ellers,,
Hjartdal kommune helse og omsorg,974640961,964963649,125,6500,Kommuneforvaltningen,,Hjartdal,Hjartdal,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Optime subsea AS,988810401,,124,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,
Tipp transport AS,979326416,,122,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,49.410,Godstransport på vei,,,,
Gumpens auto grenland AS,918506519,,118,2100,Private aksjeselskaper mv.,,Porsgrunn,Kristiansand,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,
Emerson automation solutions AS,948310716,,118,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",,,,
Kviteseid kommune sektor for skule og barnehage,974636360,964963827,116,6500,Kommuneforvaltningen,,Kviteseid,Kviteseid,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Spot AS,821116422,,115,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Seltor AS,915617344,,113,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Kragerø resort drift AS,993880787,,113,2100,Private aksjeselskaper mv.,,Kragerø,Oslo,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Håkanes maskin a/s,946054224,,109,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,43.120,Grunnarbeid,,,,
Hjartdal kommune kultur og oppvekst,974636344,964963649,109,6500,Kommuneforvaltningen,,Hjartdal,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Wimp AS,816201802,,105,2100,Private aksjeselskaper mv.,,Porsgrunn,Sandnes,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Grenland rail AS,830036032,,104,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.200,Godstransport med jernbane,,,,
Idea kompetanse arbeid og inkludering AS,825886842,,103,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,,,,
Sandvik transport AS,995203707,,101,2100,Private aksjeselskaper mv.,,Notodden,Oslo,Aksjeselskap,46.310,Engroshandel med frukt og grønnsaker,,,,
Trosvik AS,999080669,,99,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,25.110,Produksjon av metallkonstruksjoner og deler,,,,
Systemblokk AS,913289951,,96,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,,,,
Aasmundsens bakeri telemarksbakern efft. AS,991589767,,92,2100,Private aksjeselskaper mv.,,Seljord,Lier,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,47.241,Butikkhandel med bakervarer og konditorvarer,,
Hrl entreprenør AS,987259760,,91,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Dnv imatis AS,963310439,,91,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,62.010,Programmeringstjenester,,,,
Mathuset Skien AS,892421722,,88,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,10.850,Produksjon av ferdigmat,,,,
Nli grenland AS,982732662,,87,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Norner AS,898736032,,87,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,,,,
Kranringen AS,953069466,,85,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,49.410,Godstransport på vei,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,
Skien kirkelige fellesråd,976991273,,85,6500,Kommuneforvaltningen,,Skien,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Solberg bil AS,928103277,,84,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Palla pharma norway AS,918275452,,83,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,21.200,Produksjon av farmasøytiske preparater,,,,
Notodden kommune seksjon for kultur og stedsutvikling,974640708,938583986,83,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Norner research AS,912372200,,80,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,,,,
Rehabiliteringssenteret air AS,934452011,,79,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,86.107,Rehabilitering- og opptreningsinstitusjoner,,,,
Telemark godslinjer AS,992840455,,78,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,49.410,Godstransport på vei,,,,
Kvitsund gymnas AS,988982857,,78,2100,Private aksjeselskaper mv.,,Kviteseid,Kviteseid,Aksjeselskap,85.310,Videregående opplæring innen allmennfaglige studieretninger,,,,
Höganäs borgestad AS,913936175,,77,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,33.200,Installasjon av industrimaskiner og -utstyr,13.929,"Produksjon av andre tekstilvarer, unntatt klær",,
Telemark museum,970946047,,77,6500,Kommuneforvaltningen,,Skien,,Stiftelse,91.022,Drift av kulturhistoriske museer,,,,
Saga mat AS,882963632,,76,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Porsgrunn retail AS,922704619,,76,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.540,Butikkhandel med elektriske husholdningsapparater,,,,
Rauland skisenter AS,977499453,,76,2100,Private aksjeselskaper mv.,,Vinje,Vinje,Aksjeselskap,55.202,Drift av ferieleiligheter,,,,
Odds ballklubb,945650885,,76,2100,Private aksjeselskaper mv.,,Skien,Skien,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Kviteseid kommune sentraladministrasjon,974643928,964963827,75,6500,Kommuneforvaltningen,,Kviteseid,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Himmelblå barnevern AS,815008502,,75,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,88.991,Barneverntjenester,,,,
Sør entreprenør AS,922846278,,74,2100,Private aksjeselskaper mv.,,Tokke,,Aksjeselskap,43.120,Grunnarbeid,,,,
Tokke kommune teknisk,932890100,964964521,74,6500,Kommuneforvaltningen,,Tokke,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Dnh a/s den norske høyttalerfabrikk a/s,911169037,,73,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,26.400,Produksjon av elektronikk til husholdningsbruk,,,,
C. christoffersen AS,985174431,,71,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,46.733,Engroshandel med fargevarer,47.523,Butikkhandel med fargevarer,,
Norsk skogrydding AS,920997082,,70,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,02.200,Avvirkning,,,,
Hybeko AS,991729380,,69,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.693,Engroshandel med maskiner og utstyr til industri ellers,,,,
Brødrene hansen transport AS,979803672,,68,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,49.410,Godstransport på vei,,,,
Servicealliansen sør AS,923560122,,67,2100,Private aksjeselskaper mv.,,Skien,Bergen,Aksjeselskap,41.200,Oppføring av bygninger,81.210,Rengjøring av bygninger,,
Bø varetransport AS,947717103,,67,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,49.410,Godstransport på vei,,,,
Notodden kommune sentraladministrasjon,974644037,938583986,67,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Porsgrunn kirkelige fellesråd,976991141,,67,6500,Kommuneforvaltningen,,Porsgrunn,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
G.t nordics AS,822096212,,66,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,,,,
Skien kommune - nav,995509970,938759839,65,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,88.998,Kommunale sosialkontortjenester,,,,
Aarnesgruppen AS,918606777,,64,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Steintransport AS,927106426,,63,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,43.120,Grunnarbeid,,,,
Telerør a/s,946858021,,63,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Kps drift & personell AS,991377735,,63,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Telemark toto AS,977557658,,63,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
Aarsleff fundamentering & boring AS,990405700,,62,2100,Private aksjeselskaper mv.,,Nome,Skien,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Nk energi AS,925750638,,62,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,46.710,Engroshandel med drivstoff og brensel,,,,
Frode bjønnes transport AS,922742103,,61,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.410,Godstransport på vei,,,,
Cura kompetanse AS,916366779,,61,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,88.991,Barneverntjenester,,,,
Cafe osebro AS,975360040,,60,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Litana ir ko,999301452,,59,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Norskregistrert utenlandsk foretak,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,,,,
Sk armering AS,919931981,,59,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Stiftelsen Telemark toppidrett gymnas,988113107,,59,2100,Private aksjeselskaper mv.,,Skien,Skien,Stiftelse,85.310,Videregående opplæring innen allmennfaglige studieretninger,,,,
Gautefall skisenter AS,997597680,,59,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
Grenland boligbyggelag,947173219,,57,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Boligbyggelag,41.101,Boligbyggelag,,,,
Skauen kristelige skole,977456436,,57,2100,Private aksjeselskaper mv.,,Skien,,Forening/lag/innretning,85.201,Ordinær grunnskoleundervisning,,,,
Notodden interkommunale legevakt,997851757,938583986,57,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,86.211,Allmenn legetjeneste,,,,
Lie center AS,992028513,,56,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Telemark transportservice AS,937698461,,56,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.410,Godstransport på vei,,,,
Bø hotell AS,972414972,,56,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
