Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Møre og Romsdal,2786.0,2.0859755097041,-224.0,-7.441860465116271,2011,mai
Sør-Trøndelag,3952.0,2.53322062125428,-314.0,-7.36052508204407,2011,mai
Nord-Trøndelag,1464.0,2.20409149539101,-371.0,-20.217983651226152,2011,mai
Nordland,3198.0,2.66082895105704,46.0,1.45939086294416,2011,mai
Troms,1832.0,2.2047517309948703,-206.0,-10.10794896957801,2011,mai
Finnmark,1076.0,2.8310149048988102,-279.0,-20.59040590405904,2011,mai
Ikke i et fylkesdistrikt,31.0,,1.0,3.33333333333333,2011,mai
Riket,64659.0,2.48848668205409,-5935.0,-8.407230076210439,2011,mai
Akershus,7104.0,2.45100524526508,-528.0,-6.91823899371069,2011,mars
Oslo,11712.0,3.5035616477203697,-788.0,-6.304,2011,mars
Hedmark,2836.0,2.94204742329397,-56.0,-1.93637621023513,2011,mars
Oppland,2433.0,2.52268511368491,10.0,0.41271151465125,2011,mars
Buskerud,3785.0,2.72653310237016,-416.0,-9.902404189478691,2011,mars
Vestfold,4082.0,3.385739077893541,-71.0,-1.70960751264146,2011,mars
Telemark,2987.0,3.44897256065786,-251.0,-7.75169857936998,2011,mars
Aust-Agder,1955.0,3.52256796682277,-85.0,-4.16666666666666,2011,mars
Vest-Agder,2572.0,2.91772089469892,-301.0,-10.4768534632788,2011,mars
Rogaland,5159.0,2.21319556271749,-1176.0,-18.56353591160221,2011,mars
Hordaland,6511.0,2.5430452989718,-568.0,-8.0237321655601,2011,mars
Sogn og Fjordane,1254.0,2.24032058237187,-155.0,-11.00070972320794,2011,mars
Møre og Romsdal,3284.0,2.47014661583821,-194.0,-5.57791834387579,2011,mars
Sør-Trøndelag,4700.0,3.02041387201802,-303.0,-6.05636618029182,2011,mars
Nord-Trøndelag,1837.0,2.74988061895516,-346.0,-15.84974805313788,2011,mars
Nordland,3543.0,2.94570090500362,133.0,3.90029325513196,2011,mars
Troms,2035.0,2.4476664261017502,-234.0,-10.31291317761128,2011,mars
Finnmark,1249.0,3.29023771717248,-217.0,-14.80218281036835,2011,mars
Ikke i et fylkesdistrikt,36.0,,4.0,12.5,2011,mars
Riket,74190.0,2.86675789123826,-5564.0,-6.97645259171953,2011,mars
Østfold,4134.0,2.9901857892700603,-695.0,-14.39221370884241,2011,november
Akershus,6044.0,2.07785436330456,-561.0,-8.49356548069644,2011,november
Oslo,9955.0,2.947850289726,-2209.0,-18.16014468924695,2011,november
Hedmark,2401.0,2.5017617310248896,-105.0,-4.1899441340782095,2011,november
Oppland,1921.0,1.99761889235432,-25.0,-1.28468653648509,2011,november
Buskerud,3279.0,2.35503993053156,-186.0,-5.367965367965359,2011,november
Vestfold,3435.0,2.85329936973981,-145.0,-4.05027932960893,2011,november
Telemark,2777.0,3.21609365227655,98.0,3.65808137364688,2011,november
Aust-Agder,1659.0,2.9808536482073,-89.0,-5.09153318077803,2011,november
Vest-Agder,2286.0,2.5684343951970603,-203.0,-8.15588589795098,2011,november
Rogaland,4278.0,1.80482401868916,-896.0,-17.31735601082334,2011,november
Hordaland,5410.0,2.0950874451547903,-723.0,-11.7886841676178,2011,november
Sogn og Fjordane,861.0,1.53204801563037,-179.0,-17.21153846153846,2011,november
Møre og Romsdal,2546.0,1.9062791269586,-329.0,-11.44347826086956,2011,november
Sør-Trøndelag,3343.0,2.14285337470978,-1026.0,-23.48363469901579,2011,november
Nord-Trøndelag,1432.0,2.15591463210378,-156.0,-9.82367758186398,2011,november
Nordland,3071.0,2.5551612597549003,-139.0,-4.33021806853582,2011,november
Troms,1640.0,1.97368604739715,-187.0,-10.23535851122058,2011,november
Finnmark,1095.0,2.88100494504108,-17.0,-1.52877697841726,2011,november
Ikke i et fylkesdistrikt,28.0,,1.0,3.7037037037037,2011,november
Riket,61595.0,2.37056461097638,-7771.0,-11.20289478995473,2011,november
Østfold,4242.0,3.0683038505282,-541.0,-11.31089274513903,2011,oktober
Akershus,6395.0,2.19852393337734,-605.0,-8.642857142857139,2011,oktober
Oslo,10588.0,3.13529270392958,-2031.0,-16.09477771614232,2011,oktober
Hedmark,2418.0,2.51947516268979,41.0,1.72486327303323,2011,oktober
Oppland,1955.0,2.03297497894467,-35.0,-1.75879396984924,2011,oktober
Buskerud,3307.0,2.3751500610759,-130.0,-3.7823683444864695,2011,oktober
Vestfold,3582.0,2.97540563097758,-32.0,-0.8854454897620301,2011,oktober
Telemark,2669.0,3.09101690958809,-36.0,-1.33086876155268,2011,oktober
Aust-Agder,1626.0,2.92155999516882,-17.0,-1.0346926354230002,2011,oktober
Vest-Agder,2314.0,2.59989378411461,-116.0,-4.77366255144032,2011,oktober
Rogaland,4392.0,1.85291890838775,-757.0,-14.701883860943871,2011,oktober
Hordaland,5596.0,2.16711817801963,-492.0,-8.081471747700391,2011,oktober
Sogn og Fjordane,878.0,1.56229751187395,-135.0,-13.326752221125371,2011,oktober
Møre og Romsdal,2549.0,1.90852533174291,-350.0,-12.073128665056911,2011,oktober
Sør-Trøndelag,3347.0,2.14541736319283,-988.0,-22.791234140715112,2011,oktober
Nord-Trøndelag,1410.0,2.1227930385938,-133.0,-8.6195722618276,2011,oktober
Nordland,3278.0,2.72739127628674,107.0,3.37432986439608,2011,oktober
Troms,1586.0,1.9086988238852896,-216.0,-11.98668146503884,2011,oktober
Finnmark,1145.0,3.01255768225756,-17.0,-1.46299483648881,2011,oktober
Ikke i et fylkesdistrikt,23.0,,-7.0,-23.33333333333333,2011,oktober
Riket,63300.0,2.43618377911851,-6490.0,-9.29932655108181,2011,oktober
Østfold,4237.0,3.0646872736181,-561.0,-11.69237182159233,2011,september
Akershus,6577.0,2.26109334008175,-507.0,-7.15697346132128,2011,september
Oslo,10764.0,3.18740939413468,-2218.0,-17.08519488522569,2011,september
Hedmark,2435.0,2.53718859435469,-59.0,-2.36567762630312,2011,september
Oppland,1925.0,2.00177843195319,-16.0,-0.82431736218444,2011,september
Buskerud,3452.0,2.47929180853765,-169.0,-4.66721900027616,2011,september
Vestfold,3722.0,3.0916973083468897,45.0,1.2238237693772,2011,september
Telemark,2850.0,3.3006362653900503,115.0,4.20475319926873,2011,september
Aust-Agder,1621.0,2.91257610834481,-207.0,-11.32385120350109,2011,september
Vest-Agder,2266.0,2.5459634031131,-234.0,-9.36,2011,september
Rogaland,4612.0,1.94573360780608,-574.0,-11.0682607018897,2011,september
Hordaland,5767.0,2.23333998081473,-405.0,-6.56189241736876,2011,september
Sogn og Fjordane,895.0,1.59254700811752,-174.0,-16.27689429373246,2011,september
Møre og Romsdal,2708.0,2.02757418531181,-265.0,-8.91355533131517,2011,september
Sør-Trøndelag,3636.0,2.33066553109326,-710.0,-16.33686148182236,2011,september
Nord-Trøndelag,1522.0,2.2914120600991303,-91.0,-5.64166150030998,2011,september
Nordland,3335.0,2.77481693301289,56.0,1.7078377554132302,2011,september
Troms,1684.0,2.0266385998882903,-270.0,-13.817809621289658,2011,september
Finnmark,1219.0,3.20725573333797,74.0,6.462882096069859,2011,september
Ikke i et fylkesdistrikt,27.0,,-7.0,-20.58823529411764,2011,september
Riket,65254.0,2.51138603985149,-6177.0,-8.64750598479651,2011,september
