Organisasjonsnummer,Navn,Nivå enhetsregisteret,Antall ansatte
926005669,Nedre vadder - felland,1,
926013157,Huldregården lia,1,
926292994,Solbjørg frantzen,1,
926342711,Jostein sørgaarden,1,
926446541,John arne sødtholt,1,
926456156,Bernt olav versto kringlegarden,1,
926520539,Karianne landsverk,1,
926526219,Mari vårdal nordhus,1,
926570455,Trude botn,1,
926774328,Stegarud da,1,
926854739,Gunnar kaasa,1,
926855131,Brenne skov v/elin aarhus,1,
926906836,Fjalestad maskin,1,
926931393,Torje rydland,1,
927052326,Anne marit støle hovden 4/6,1,
927170647,Gunnar tørnes,1,
927191016,Joakim krogsgård larsen,1,
927324563,Lassemo ullgris,1,
927363097,Oskar lindbråthen,1,
927404982,Bakken gård og service,1,
927485397,John magnus brady,1,
927525267,Ola midjås,1,
927583968,Sud grov ninteman,1,
927652773,Per jacob kokkersvold,1,
927708418,Nord vasstveit da,1,
927837943,Wiersdalen skog,1,
927878860,Tråserud gard gro jubskås,1,
927914468,Seland skog og maskin,1,
927950111,S bjerke,1,
927984504,Anne karine norbye austad,1,
927993929,Sverre puttekås,1,
928251942,Haugeberg,1,
928519392,Kjell espedalen,1,
928585352,Jon torjus øverdal,1,
928588564,Jørgedal skog,1,
928597857,Talleiv metveit,1,
928599132,Kaasa gaard,1,
928635430,Ola kringlåk,1,
928662381,Ulrik inge larsen skog og maskin,1,
928693015,Ann kristin haugland,1,
928721795,Nedre midtgarden dybdal,1,
928728218,Morten buen nystad,1,
928732266,Stine merethe ufs,1,
928754715,Geir kildal,1,
928782271,Terje måbuholt,1,
928835626,Nesland østre,1,
928944875,Sanda gårdskompani,1,
928958477,Skoglund hrb,1,
928994589,Thorleif sannes,1,
929092503,Haugerud eiendom,1,
929100557,Skrederkåsa drift breiland,1,
929147316,Skinand vildalen,1,
929183355,Signe bø,1,
929290860,Vemund romdal,1,
929324366,Viken fjellgård c/o halvor sandbu,1,
929350812,A&e reite,1,
929363582,Småbrukar hildegunn lassemo,1,
929368371,Vedmannen oddvar dalen,1,
929475070,Rafnes skog AS,1,
929567900,Tveiten gard myrene klausen,1,
929719751,Kh haugan dødsbo,1,
929812670,Rønningsland skogsdrift da,1,
929845706,Elisabeth gåra,1,
930135461,Thea glittum,1,
930203793,Øystein ambros hjartsjø,1,
930227110,Joar andersen,1,
930233900,Tom finnebråten,1,
930253928,Liv ingeborg høibø,1,
930258962,Ottar graasvoll,1,
930317551,Grebbtjennstykket melås ved og tømmer,1,
930496138,Cato gullhav,1,
930585033,Tor håkon kaasa,1,
930642142,Ole terje sannes,1,
930789798,Håsom gård pedersen,1,
930805696,Kristina skree moe,1,
930822698,Åshild bringsvær-sunde,1,
930946885,Nordigard rugtveit svein moen,1,
931072870,Bakken tjenester,1,
931072994,Veasekken v/ pedersen,1,
931124730,Kleppe skog,1,
931168134,Nils sauro,1,
931248316,Torkel slaattun,1,
931344005,Magnhild anne øyvågslid,1,
931352954,Mats holthe,1,
931422324,Askerud gård eriksen,1,
931503227,Fetveit gard - elin fetveit,1,
931577654,Øye løveid,1,
931602438,Dagfinn tveiten,1,
931606441,Heisholt landbrukstjenester,1,
931618857,Helge holtskog,1,
931708198,Elin marie lunde,1,
931717863,Moen morten,1,
931731653,Haugo drift,1,
931736639,Nisi vestre - ødegård,1,
931775383,Hans magne breivik,1,
931863673,Hjartdal gård nicholas john beavan,1,
931891731,Marte eie,1,
931936409,Pedersen ved AS,1,
931939009,Eli gaustad,1,
932162105,Hauge saga lisleuppigard,1,
932162156,Dyrland skog og eigedom,1,
932190354,Olav willy eriksen,1,
932266334,Per inge oredalen,1,
932358999,Söndre böle kløcker,1,
932378116,Mikael moen håkonsen,1,
932386976,Ingolfsland næring AS,1,
932696053,Gunn tone bekkhus,1,
932698803,Eirik theie,1,
932702983,Per bratland,1,
932724545,Ottersnes gård ved jordal,1,
932743949,V. og g. antonsen,1,
932753189,Hans-christian stana borstad,1,
932760649,Hellestvedt bruk AS,1,
932771586,As mellem brække skog,1,
932812142,Karl kristian grythe,1,
932840774,Refsdal eiendom da,1,
932867842,Thormod moi felle,1,
932871610,Kvalevaag øygarden,1,
932914514,Mikael arntzen viki,1,
932921782,Lisbeth skarvang stahl,1,
932934612,Oak consult kolbjørnsrud,1,
932938529,Magnus skaalen,1,
933006514,Telnes jord- og skogbruk,1,
933031691,Stein solum,1,
933032558,Anita nygård moen,1,
933094332,Aaste bergli beitnes,1,
933095606,Martin tveito,1,
933121445,Per stian øverdal,1,
933123200,Mathias bergskås enk.,1,
933127605,Thor indseth,1,
933169901,Mitander gårdsdrift,1,
933238814,Sommer oterholt,1,
933277526,John vidar olsen,1,
933293106,Jon olav nisi,1,
933329399,Mona storkaas kløcker,1,
933358151,Jan erik næset,1,
933417417,Lasse juve-livik,1,
933439038,Jørgen lensegraf melås,1,
933449289,Bjerketvedt skog og huldre,1,
933486214,Tommy jopperud,1,
933507793,Eivind aasmundtveit inngår i dødsbo,1,
933511448,Lars magne nordgaard-tveit,1,
933552802,Ole martin nisi,1,
933716678,Jon wefald,1,
933728609,Mikael grana johansen,1,
933758109,Lars klevsgård hobæk,1,
933842320,J. haukenæs skog drift og vedlikehold,1,
933879046,Rønningen gård,1,
933897389,Ole j. tveitan,1,
933933687,"Vestre graver gård, hans arne flåto",1,
933954595,Lars blikom,1,
933970361,Egil solberg,1,
933991059,Reiersen-slemmeli bruk,1,
934055217,Mikkel ringhus,1,
934307879,Høgkasin v/pål morten wedvik,1,
934356195,Sønstvedt gård semb inngår i dødsbo,1,
934358538,Heggtveit og hegna AS,1,
934408934,Birger sveinsson,1,
934453123,Jostein nedrebø,1,
934578449,Vestre klyve gård rinker,1,
934579356,Nordigard håtveit storhaug,1,
934635256,Silvi montana cappelen skoger,1,
934787897,Bjerva håkon johannes,1,
934793560,Halvor løwer gurholt,1,
934809491,Thomas gaaren,1,
934881931,Fundlid nord,1,
934986091,Sverre lien,1,
935000637,Olav aadne hefre,1,
935029244,Tone austjord,1,
935093066,Våset,1,
935128528,Smøkkerød og storkås gård,1,
935162912,Kirsti anette høen kristensen,1,
935190444,"Hoseid gård, reiersdal karlsen",1,
935257271,Engravslia landbruksservice,1,
935257476,Hallvard nordbø jørgensen,1,
935351723,Werge drift skog og eiendom,1,
935358663,"Lisland gård, skårberg og eide",1,
935432359,Saga skog,1,
935437245,Morris walmestad,1,
935462886,Haukvik nistugu,1,
935478413,Endre nyheim,1,
935577888,Langmyr 2xdun,1,
935804272,Verpe sønstebø skog og landbruk,1,
935811627,Hardang skog,1,
935818990,Lars gardsteig fæhn,1,
935914337,Heimdal skog,1,
936088988,Lars vegar valen,1,
936127797,Sti gård da,1,
936256309,Askedalen gård AS,1,
936322107,Selstad gard dyrland,1,
936375286,Gerd ellen lundgreen haukvik,1,
936399894,Ellen aure skogedal,1,
936532381,Jan roger valbø,1,
952374621,Inger lise franck bakke,1,
952385003,Gunnar holtan,1,
958228430,Gunnar reinslo skogsdrift,1,
958979258,Jon-halvor ringhus,1,
960016696,Oddvar steinsrud,1,
960714881,Thoralf berge,1,
961870690,T. five eiendom,1,
962626327,Arild otto nålby,1,
962819818,Hildegunn marie rui,1,
965099271,Emil hovden,1,
966256044,Kragerø utleie hansen,1,
966392657,Hans jacob berntsen,1,
969089084,Børre nordheim-larsen,1,
969096757,Langangen jan erik,1,
969100460,Liestøl kåre,1,
969100649,Thorsen thor isak,1,
969100657,Bakke sverre,1,
969100738,Landgraff roar,1,
969100770,Straume olav håvard,1,
969100789,Brennemo kjell steinar,1,
969100819,Dag einar klemmetvoll,1,
969100835,Svein olav heimdal,1,
969100878,Svalbjørg knut gunnar,1,
969100932,Schlenzig gunther inngår i dødsbo,1,
969101017,Våle olav,1,
969101084,Gutukjær svein ole,1,
969101130,Kjell harald brenne,1,
969101165,Heimdal sigurd asle,1,
969101289,Grøstad jon,1,
969101327,Høydalen knut,1,
969101467,Tore lotsberg,1,
969101505,Midtbøen tove,1,
969101513,Holmen mathias,1,
969101556,Wæthing torfinn,1,
969101599,Andersson gunn astrid,1,
969101610,Bjørg nevahaug inngår i dødsbo,1,
969101718,Aasetre tor steinar,1,
969101742,Birgit trahaug lia,1,
969101793,Margit lognvik,1,
969101939,Øystein larsson,1,
969102056,Sørbø jan g,1,
969102064,Hallgeir lund,1,
969102099,Timland tom l r,1,
969102102,Henriksen anne dorothea heggtveit,1,
969102110,Leirbrekk sten inge,1,
969102145,Nøklegård kjell,1,
969102196,Felle reidar,1,
969102250,Bergit o mikkelsen,1,
969102269,Nils ole toreskaas,1,
969102293,Walle jon georg,1,
969102323,Hans petter frantzen,1,
969102358,Siv.ing tor arne folseraas,1,
969102382,Rolf t sundgot,1,
969102412,Arne midtgarden,1,
969102471,Groven jon,1,
969102501,Nedre helleberg sam v/o helleberg,1,
969102544,Røra hans erik,1,
969102625,Gautefald hans jørgen,1,
969102897,Halvor solberg,1,
969102900,Gunnar naas,1,
969102978,Øygarden harald jan,1,
969150794,Tveitan einar,1,
969150859,Lars wissestad,1,
969150891,Dag gunnar volland,1,
969150921,Kai henning løvstad,1,
969151111,Marit askildt,1,
969151146,Jamtveit gjermund h,1,
969151154,Inger Vinje,1,
969151170,Norheim eivind,1,
969151286,Kveven anne marie brokka,1,
969151340,Grave kari haukvik,1,
969151367,Olav blikom,1,
969151391,Barstad sverre,1,
969151405,Jubskås per,1,
969151413,Solheim knut,1,
969151456,Tore odden,1,
969151499,Håkon li,1,
969151502,Johnsen kjell arne,1,
969151596,Midtbø tore,1,
969151677,Grimstvedt kristian,1,
969151723,Arve levang,1,
969151804,Flogstad olav,1,
969151847,Harald oddnes,1,
969162393,Knut krossbakken,1,
969167999,Olav h tveit,1,
969175525,Momrak lars t,1,
969175568,Tarjei olav rue,1,
969175606,Skog og eiendom v/t.mylius,1,
969175754,Svein sødtholt,1,
969175789,Moen runar,1,
969175894,Hansen kjell harald,1,
969175967,Bjørn grivi,1,
969175975,Tinnes tron olav,1,
969176076,Torill gisholt nenseth,1,
969176149,Sannerholt tor olaf,1,
969176211,Kasland gunn marie,1,
969176262,Kveim per,1,
969176351,Odd hallvard fossli,1,
969186586,Sollid nils aage,1,
969188570,Lien arne,1,
969194473,Vogsland kjell tore,1,
969194503,Svein helge sunde,1,
969194538,Andreas steane reine inngår i dødsbo,1,
969194686,Tveit tor olav vellene,1,
969194740,Olav vidar landsverk,1,
969194759,Heldal kjell,1,
969194961,Kari hildur lie,1,
969195003,Tisjø john gunnar,1,
969195070,Kristoffer naas,1,
969195194,Haukås ole per,1,
969195240,Ottar gjærum,1,
969195267,Peder tørdal,1,
969195275,Heggtveit thor arne,1,
969195283,Elgtvedt ingrid,1,
969203219,Flugon anlegg,1,
969203359,Hildegunn haugo,1,
969203502,Sjøtvedt ingolf peder,1,
969203650,Rollag adele,1,
969223252,Gunnar tveito,1,
969223309,Sigrid stråndi slettemeås,1,
969223538,Straume brita,1,
969223600,Torstein j lurås,1,
969223678,Ellen karine aaby haukvik,1,
969223902,Dyrud odvar,1,
969223937,Telnes jørund,1,
969224089,Haugestøylvegen ba,1,
969224097,Straand svein-olav,1,
969224135,Helmer t homleid,1,
969224194,Frønes jørn,1,
969224232,Lindset yngvar,1,
969224267,Bøen jørgen,1,
969224283,Semb olav,1,
969248786,Berg trond j,1,
969248808,Hans hegna,1,
969248905,Wastøl ole,1,
969248948,Fjeld runar,1,
969248964,Oddbjørn carlsen,1,
969248980,Framgarden johan angre,1,
969249154,Odd aure,1,
969249367,Halvor gaustad,1,
969249588,Arild hegge,1,
969249618,Thor arne heggtveit,1,
969249650,Profil tre vidar engebretsen,1,
969249774,Tonstøl asbjørn,1,
969249871,Reiersdal per helge,1,
969250055,Jamtveit hallgeir,1,
969250071,Olesrud oddmund,1,
969278448,Sisjord jan hellek,1,
969278618,Anne sønstebø,1,
969278669,Gunnar graver,1,
969278677,Susaas kristen rønholt,1,
969278731,Krosskei sigrid marie,1,
969278804,Aslaug flugon,1,
969278928,Tom flaatten,1,
969278944,Olav øyvind lie,1,
969279029,Ragnar kaasa,1,
969279150,Snøås inge roar,1,
969279169,Eikland wigdis,1,
969279223,Geir halvor tjønn,1,
969279290,Berg tone,1,
969279355,Kjellaug astrid torsteinson,1,
969279371,Tor vegard jacob moe,1,
969279487,Næs halvor h d y,1,
969279657,Erik juel ballestad,1,
969279681,Gjestrud bjørn h,1,
969279770,Erling ekornrød,1,
969279886,Rørholt svein,1,
969279983,Anne margot skoftedalen,1,
969308800,Evensen per sandnes,1,
969327473,Harald ottar skjelbred,1,
969327481,Sigmund elgtvedt,1,
969327503,Vistad ingebjørg skaalen inngår i dødsbo,1,
969327686,Li mari h,1,
969327821,Siri strandrud,1,
969327856,Kleppen olav m,1,
969327961,Bamle helge,1,
969328127,Marit roverud,1,
969328216,Faye frances benedict,1,
969328259,Sigrid garden,1,
969328348,Lundsett hans,1,
969328445,Einar hovden,1,
969328488,Leif skoje,1,
969328526,Olav jostein miland,1,
969328690,Magne kåresen mork,1,
969328798,Ragnhild undeland lysbakken,1,
969328925,Jore asle,1,
969328984,Gundersen svein olav,1,
969328992,Kjestveit åge,1,
969329026,Gunn elisabeth strand,1,
969329085,Aarak jan,1,
969329328,Tveitan john,1,
969329409,Terje kristen lunde,1,
969329425,Ryntveit gunne,1,
969329530,Bjørn vidar tuft,1,
969367165,Leif haave,1,
969367211,Rønningen arne dag,1,
969367270,Pedersen hans petter,1,
969367378,Aase olav o,1,
969367408,Lyder anton solberg,1,
969367440,Åsbjørg kildal kåsa,1,
969367718,Aase aud kristin,1,
969367866,Knutsen knut m,1,
969367890,Anne synnøve hofsten,1,
969368099,Pedersen helge m,1,
969368110,Halvor tollheim,1,
969368218,Jan hallvard lia,1,
969368226,Knut vefall,1,
969368293,Eie halvor,1,
969368323,Ann kristin bråthen,1,
969368374,Midtgarden tor bendik,1,
969368382,Per simon mustvedt,1,
969368471,Sanda eivind,1,
969414643,Amund vidar solvang,1,
969414740,Liv haugeberg,1,
969415097,Ketil o kiland,1,
969415127,Magne underdal,1,
969415208,Aabø arne t,1,
969415267,Kåsi bjørn,1,
969415429,Ole svein høen,1,
969415534,Krogh margit rakel felland,1,
969441535,Sverre Siljan,1,
969441659,Svanaug irene staurheim,1,
969441926,Ingebjørg jørgedal løberg,1,
969441993,Seltveit gunstein magne,1,
969442035,Ellingsen kjell,1,
969442310,Halvor sunde,1,
969442639,Skår anlaug synnøve klevar inngår i dødsbo,1,
969442795,Ruth flaaten,1,
969442884,Groven øystein,1,
969454459,Gisholt birger,1,
969454483,Yli sveinung,1,
969454610,Hegna olav k,1,
969455048,Hans audun simones,1,
969455064,Ole grov,1,
969455110,Gunleik vistad,1,
969455366,Liv hegna kåsin,1,
969455382,Nilsen nils chr,1,
969455390,Isak fjalestad,1,
969455439,Olav k urdalen,1,
969455536,Aslak råmunddal,1,
969455625,Torkild kåsa,1,
969455692,Gjems hasne sameie,1,
969455706,Ingar skilbred inngår i dødsbo,1,
969455730,Ingrid ingolfsrud,1,
969455757,Bentsen synnøve,1,
969470977,Marie grova olsen,1,
969471124,Slåen helge h,1,
969471485,Edith aspheim nielsen,1,
969471671,Nisi torstein,1,
969471787,Omtvedt odd arvid,1,
969471809,Vellene magne,1,
969471841,Grave birger,1,
969472082,Brødrene hoff da,1,
969472120,Lien sigrid dale,1,
969472147,Aakre gunnar e,1,
969564378,Næs sameie,1,
969564475,Holta halvor h,1,
969564564,Ingebjørg gunhild fjone,1,
969564831,Bjørbekk bjørn walter,1,
969565048,Næset egil juel,1,
969565153,Birgit oddveig norendal,1,
969565226,Hannestad hans,1,
969565994,Vågsland asbjørn,1,
969566044,Lovald olav,1,
969566443,Lauvstad dag halvor,1,
969566591,Thorsberg einar,1,
969566702,Olav andreas hvalen,1,
969566761,Odd utistog,1,
969566990,Lars thore tinderholt,1,
969567229,Flathus ole harald,1,
969567431,Berit bjaadal,1,
969567504,Birger nygård,1,
969567881,Fosstveit torstein,1,
969568268,Jørgensen herdis nordbø,1,
969621363,Odd arve lunde,1,
969737582,Tokle arild,1,
969778416,Seltveit knut,1,
969778645,Sæthre are,1,
969778653,Liv lauvdal brubakk,1,
969779188,Mælum inger margrete,1,
969780623,Sveinung strand,1,
969780704,Ørnulv thunes inngår i dødsbo,1,
969781077,Halvor graver,1,
969781123,Nestestog bjørn inngår i dødsbo,1,
969781182,Gunhild agnes svalestog,1,
969781301,Rogn ragnar,1,
969781352,Heldal solveig inngår i dødsbo,1,
969781506,Jørgen tørnes innehaver anna tørnes,1,
969782014,Isaksen frank ingvar,1,
969782170,Karl slaattun,1,
969783142,Jenny flathus,1,
969783231,Morten søren auen,1,
969783312,Kari haukvik,1,
969783703,Ryen johannes,1,
969784017,Ølmheim anstein,1,
969784149,Amundsen per gunnar,1,
969784327,Marit hefre,1,
969784599,Rønholt klaus o,1,
969784777,Anne lise bergdahl,1,
969784785,Nymoen johannes,1,
969784793,Strand gunleik,1,
969784823,Vågen jorunn haukedal,1,
969784998,Siljan leif kåre,1,
969785005,Nordbø olav inge,1,
969785188,Odd o skårnes,1,
969785196,Sveinung o flaaten,1,
969785358,Hjartsjø anne kjersti,1,
969785366,Holtskog anne marie,1,
969785382,Gudbrand haugejorden,1,
969785528,"Ødegaarden, venke elisabeth",1,
969785560,Kjos torgeir,1,
969785722,Moen tor andreas,1,
969785773,Sinnes tarjei,1,
969785900,Anders almelien,1,
969785927,Eivind klevar,1,
969785935,Anna støyl inngår i dødsbo,1,
969786001,Fagerlid jorån heggtveit,1,
969786036,Bjaaland ingvald,1,
969786079,Svalastog olav,1,
969786095,Haugen ingeborg marie,1,
969786125,Olav borstad,1,
969786265,Lindestad arild,1,
969786311,Wik tellef,1,
969786354,Kåre heddejord,1,
969786427,Haave hans gunnar,1,
969786516,Sauer ketil inngår i dødsbo,1,
969787164,Landsverk john,1,
969787261,Vildalen bjørn,1,
969925729,Hegglid jan kåre,1,
969927039,Nes erik,1,
969957507,Ingar teien,1,
969964678,Turid anita løite,1,
969965585,Fineid bruk og maskin v/eilev solberg,1,
970045139,Arnfinn saga,1,
970045600,Garvik gudbjørg,1,
970046313,Darrud gunnar,1,
970046453,Biørn otto bolman,1,
970046828,Voje anne grete,1,
970048502,Strand einar,1,
970048782,Wenja rui,1,
970158146,Ole einar amlie,1,
970175628,Bergland torkil maskin,1,
970175652,Sivert graasvoll,1,
970175725,Klosterskogen v/marianne tinnes,1,
970176128,Lundeberg turid,1,
970213651,Arvid straume,1,
970213775,Høidalen traktorlag,1,
970214240,Bilstad hans per,1,
970214259,Nerbø tor,1,
970240918,Vinjerui svein r,1,
970247955,Jørgen wermer madsen,1,
970248129,Waasjø knut,1,
970260285,Vik åni inngår i dødsbo,1,
970260366,Kvasjord gunnar,1,
970260390,Løvli kjell arne,1,
970284362,Reiersen svenn,1,
970284648,Stein helge østerli,1,
970295445,Hvitås oddmund,1,
970324682,May britt nymoen dahle,1,
970342974,Gaaren arild,1,
970343024,Helge rønningsland inngår i dødsbo,1,
970358927,Åge selmer felle,1,
970359176,Gautefald hans t,1,
970376097,Nordbø john,1,
970376410,Jore jon helge,1,
970389326,Grave arvid,1,
970393099,Espestøyl oddvar,1,
970396616,Høgetveit øystein,1,
970397868,Folsland jon,1,
970402845,Haglund jørn tore,1,
970411992,Hans oddvar nordskog,1,
970437894,Torsdal sveinung,1,
970438351,Kleven hans gunnar,1,
970439536,Tor einar tveit,1,
970439773,Kvaale gard bjørn aase,1,
970439803,Andreassen ragnar,1,
970498508,Harald risvold,1,
970498524,Anne marie skarprud,1,
970498982,Knut oddvar nes,1,
970525181,Kåsa magne halvor,1,
970525254,Tømrer morten langelid,1,
970525289,Jørund moghus,1,
970525319,Sanden torfinn,1,
970525335,Bakkeløkken gunnar,1,
970525475,Thronsen john,1,
970525491,Romdal olav dødsbu,1,
970547169,Dahle øystein,1,
970548793,Rui jon arnold,1,
970549978,Stamland runar,1,
970550070,Jan konrad dale,1,
970552197,Bø jørgen t,1,
970552251,Plassen & nilsen maskinlag,1,
970553843,Kjetil johs flatland,1,
970553940,Ole arthur austad,1,
970553983,Landsverk aasmund h,1,
970556389,Espestøyl tellef,1,
970556397,Heibø magne,1,
970557423,Olaussen john,1,
970557512,Nils torjus østenå,1,
970557563,Tore lohne,1,
970559922,Aase aslak,1,
970559973,Gjærum leif,1,
970560564,Torjus o haukvik inngår i dødsbo,1,
970560874,Ingebjørg jamgrav,1,
970564020,Øyvind slåen,1,
970566015,Olav st ramberg,1,
970566058,Kåre kyrdalen,1,
970573917,Haugsjå vrål,1,
970587381,Ole løver,1,
970587470,Bergen knut,1,
970587500,Bø hans fredrik,1,
970910824,Alf anund roheim,1,
970914048,Kai waal,1,
970916822,Haugen lars kaare,1,
970925872,Hans andreas bøen inngår i dødsbo,1,
970944478,Terje graver,1,
970944486,Geir teigen,1,
970946101,Vrangsund anders dødsbo,1,
970968946,Synnøve lonar,1,
971054123,Tømrer trond roy hafredal,1,
971101873,Gregar versto,1,
971146486,Breidal ans,1,
971184426,Kildal anne grete gravir,1,
971190418,Nicolai vrål homme,1,
971200448,Oddvar karlsen,1,
971205210,Håtveit sameige,1,
971205342,Bergskås gudmund,1,
971205423,Dahle tor,1,
971205458,Furumo jan,1,
971205520,Hem anund olav,1,
971205547,Paulsen sigmund,1,
971205601,Dina elise myhre inngår i dødsbo,1,
971205652,Haugland ingebjørg g,1,
971205709,Kaasa kjell anund,1,
971205741,Nøklegård hans thor,1,
971205768,Lia torbjørn,1,
971205776,Normann margaret,1,
971205873,Hans per heistad,1,
971206063,Eikhom signe grethe,1,
971214163,Bugge hans jørgen,1,
971238372,Bentsrud tone,1,
971322683,Martinsen simon haakon,1,
971473274,Olav felland jord og skogbruk,1,
971547847,Halvor vrålstad,1,
971551860,Mari beitnes,1,
971595450,Lofthus ole jonny,1,
971597747,Reine arne,1,
972411620,John a barstad,1,
973195549,Moslid sud ans,1,
974210460,Anne hege klevsgård hobæk,1,
974242958,Helge h nisi,1,
974244519,Aslak lofthus,1,
974246112,Hans breivik,1,
974278979,Osmund tarjei juva,1,
974362988,Alf-tore oppebøen,1,
974379821,Signe margrethe lyngstad,1,
974391007,Tor kristian flaa,1,
974395037,Sundbø gjertrud,1,
974399083,Aud mari holmstad,1,
974399245,Gro haustveit,1,
974399695,Knut jens og elisabeth kaasa da,1,
974402726,Arnstein lønvik,1,
974406926,Astrid wåsjø simonsen,1,
974407825,Amund vrålstad,1,
974414724,Malmfrid cristin råmunddal inngår i dødsbo,1,
974424649,Øyvind lie,1,
974439220,Karl torgeir bruseth,1,
974486644,Kim kise,1,
974496208,Anne v søftestad carefoot,1,
974629380,Øyvind erikstad,1,
974699427,Edvin haugan maskiner,1,
974982471,Tor arne gustavsen,1,
975262928,Joar lofthus,1,
975473945,Hagfors skog v/j. jonskås,1,
975524892,Gunlaug aalandslid,1,
975787443,Knut dag nordskog,1,
975906485,Jon kristian sletteberg,1,
975907090,Halvor i holtan,1,
975930815,Alis tefre,1,
975948145,"Bøen,jon j tjønn",1,
975950581,Sigmunn sten johan ytterbøe,1,
975968162,Trygve rollefstad,1,
975973867,Leif andor aspheim,1,
976028236,Rune eika,1,
976028317,Audun aslestad,1,
976049047,Tom olav hegna,1,
976075013,Hans skogholt,1,
976080793,Lars anund bratlid,1,
976090322,Birgit lurås prestårhus,1,
976101804,Kjersti anne bjåland,1,
976110641,Finn bærland høgvold,1,
976110730,Randi b.s.høgli,1,
976126300,Thorbjørn myhre,1,
976137639,Johan dahlgren,1,
976147057,Arne johre,1,
976162595,Olav teigen,1,
976186990,Jan nøkleby,1,
976196155,Lars tore gjerstad,1,
976199308,Trygve gisholt,1,
976202600,Kjell j vøllestad,1,
976207149,Kjell nilsen,1,
976208439,Nordre breiset sameige,1,
976214005,Tarald sverre øigarden,1,
976251415,Nielsen svein arild fjone,1,
976265793,Solveig nordgarden,1,
976286464,Karianne og terje løite,1,
976288033,Anne tveiten,1,
976303776,Solveig berthelsen,1,
976336305,Herleik baklid,1,
976474961,Karin ofte gonsholt,1,
976487575,Kjell åge voje,1,
976487664,Johan s straand,1,
976490886,Gro kristin vraalstad eskilt,1,
976496515,Ole jørn krokane vårheim,1,
976556631,Episteme inge simon thorbjørnsen,1,
976785207,Jens sunde,1,
976861515,Breivik & lie da,1,
976886283,Lydlåven tor jarandsen,1,
977021448,Holte treprodukt arne holte,1,
977068452,Einar solberg,1,
977079640,Helene c løvenskiold,1,
977101204,Mathias jore,1,
977162890,Margit rui christenson,1,
977172381,Vidar strat eikland,1,
977330327,Hæge svanajord omtveit,1,
977354684,Ragnhild lia,1,
977358116,Arvid rekaa,1,
977373700,Einar mørland,1,
977378834,Rune vibeto,1,
977473136,Bergit kåsa,1,
977477026,Eivind mo,1,
978617832,Bjørn tveiten,1,
978644376,Halvor eie,1,
979124406,Tor olav haave,1,
979127146,Olav-morten sauar,1,
979200048,S.d. cappelen skoger,1,
979224060,Nordbø skogsmaskiner,1,
979347227,Margit nordstoga,1,
979354096,Johannes haukaas,1,
979409877,Halvor stokland,1,
979434006,Jørund cronblad krosshus,1,
979452535,Hans magne gautefall,1,
979469977,Norvald vik,1,
979510004,Alvhild i tørudstad vefall,1,
979527969,Svein bakka,1,
979538960,Inger eikland selstø,1,
979548052,Edvard markseth,1,
979566662,Anne karine bø,1,
979582501,Anne hegna råmunddal,1,
979598939,Olav andreas felle,1,
979605579,Willy skogli,1,
979636385,Ragnhild amlie,1,
979638574,Lønnegraff hans,1,
979642334,Per tinderholt,1,
979652232,John aslak moe,1,
979690347,Kåre bråthen inngår i dødsbo,1,
979695918,Dagfinn kaasa inngår i dødsbo,1,
979713371,Olav t austad,1,
979713649,Kjetil sundbø,1,
979817177,Herbjørn hovinbøle,1,
980013022,Sissel egelandså rua,1,
980018504,Ann christin østling,1,
980031632,Jens tjellaug,1,
980155676,Lars inge rønholt,1,
980179982,Tore holtskog,1,
980283666,Harald tikkanen øygarden,1,
980294560,Alf rose sørgaarden,1,
980327205,Geir magne våle,1,
980328449,Aslaug skeie inngår i dødsbo,1,
980338606,Torfinn dale,1,
980393402,Ingebjørg aspheim hummelsgård,1,
980398633,Hans valebjørg,1,
980424448,Roar smukkestad,1,
980434362,Hegar og bjørndalsliene gunnhild tveiten garberg,1,
980434435,Stig axel kokkersvold olsen,1,
980440516,Geir einar skottveit,1,
980535444,Barthold vonen,1,
980546837,Fosstveit ved og rep.,1,
980552195,Bjørn halmrast,1,
980572684,Sigvart valle,1,
980589153,Hege tveiten kolsung,1,
980597296,Sveinung svalastoga,1,
980597725,Nils tore nordbø,1,
980648931,Roar gjessing,1,
980657299,Stig selbo,1,
980958914,Jan august bolstad,1,
980990648,Jon hovde brennekåsa,1,
981135288,Halvard gjøystdal,1,
981170709,Anders n olaussen,1,
981226771,Ståle nikolai sanni,1,
981267222,Torbjørn steinbakken,1,
981277449,Lars vefald,1,
981350561,Omtveit lille ans,1,
981352084,Bøe maskinservice,1,
981367839,Per omland,1,
981380991,Jan tore christensen,1,
981409825,Gunnar hordvei,1,
981415191,Joar auråen,1,
981463099,Per stian haustveit,1,
981468503,Nina kortner,1,
981509994,Per oswald,1,
981519280,Halvor s sveinsøn oseid,1,
981539192,Sissel birgit rosland,1,
981542886,Jan ove tjønn,1,
981563972,Djuve gård kjell-åge høglid,1,
981582985,Olav johre,1,
981598520,Jostein ballestad kristiansen,1,
981624939,Unni løken,1,
981640519,Ole gunnar thommesen,1,
981674197,Nils e sørgaard,1,
981699920,Vetle odd nilssen,1,
981709896,Sverre h breivik,1,
981758498,Scheie anne ingebjørg aamdal,1,
981878647,Vidar valen,1,
981879880,Olav gaastjønn,1,
981893271,Ruth smidt pershaug,1,
981895746,Valebjørg jarl m fl,1,
