Level,Org. nr.,Navn,Parent Employees,Children Count,Children Sum,Difference,Matches
1 vs 2,969565412,Vågslid grunneigarlag sa,,1,0.0,,False
1 vs 2,969566141,Drivarselskapet breisetvegen,,1,0.0,,False
1 vs 2,969784580,Manheimstrondi skogsbilveglag sa,,1,0.0,,False
1 vs 2,970573909,Holtan damtjønnvegen sa,,1,0.0,,False
1 vs 2,971034823,Øst-telemarkens brukseierforening,,1,0.0,,False
1 vs 2,971089113,Skjærgården ferie og eiendom AS,,1,0.0,,False
1 vs 2,971323841,Sætre rolf ole,,1,0.0,,False
1 vs 2,974988526,Dk eiendom dag kristoffersen,,1,0.0,,False
1 vs 2,975356272,Kåsmyra eiendom AS,,1,0.0,,False
1 vs 2,976701852,Tower eiendom AS,,1,0.0,,False
1 vs 2,977559383,At skog invest AS,,1,0.0,,False
1 vs 2,979142242,Bamble bruk AS,,1,0.0,,False
1 vs 2,980368149,Bjerva eiendom AS,,1,0.0,,False
1 vs 2,980647986,Porsgrunn mek AS,,1,0.0,,False
1 vs 2,980780430,Kjørbekk eiendom AS,,1,0.0,,False
1 vs 2,982271282,Rauland utvikling ans,,1,0.0,,False
1 vs 2,982494729,Eiendomstaksering ing nils gjelstad,,1,0.0,,False
1 vs 2,982790816,Otto AS,,1,0.0,,False
1 vs 2,983234372,Trappegalleriet larsen,,1,0.0,,False
1 vs 2,983785816,Arild årmot,,1,0.0,,False
1 vs 2,983887325,Vannfronten eiendom AS,,1,0.0,,False
1 vs 2,985945101,Rundtomvegen sa,,1,0.0,,False
1 vs 2,987763272,Rauland fjellstyre,,1,0.0,,False
1 vs 2,988114723,Hjerdalen veglag sa,,1,0.0,,False
1 vs 2,988817325,Veglaget reisjåbrekka-vikbakkane sa,,1,0.0,,False
1 vs 2,989140760,Betten invest AS,,1,0.0,,False
1 vs 2,989148699,Theonor AS,,1,0.0,,False
1 vs 2,989263382,Øystein ørnes AS,,1,0.0,,False
1 vs 2,989493086,Lunde slusepark drift AS,,1,0.0,,False
1 vs 2,991146695,Moheim næringsselskap AS,,1,0.0,,False
1 vs 2,991346546,Frednes eiendom AS,,1,0.0,,False
1 vs 2,991472509,Reisjå - bondal utmarkslag sa,,1,0.0,,False
1 vs 2,992825642,Birtedalen AS,,1,0.0,,False
1 vs 2,994316915,Gavlesjåvegen sa,,1,0.0,,False
1 vs 2,995081768,Ramberg takst,,1,0.0,,False
1 vs 2,996154165,Epsn invest AS,,1,0.0,,False
1 vs 2,996295451,Øysang utvikling AS,,1,0.0,,False
1 vs 2,996942295,Kjellemyr eiendom AS,,1,0.0,,False
1 vs 2,997212185,Telemark bygg & taksering AS,,2,0.0,,False
1 vs 2,997419650,Birk eiendom AS,,1,0.0,,False
1 vs 2,998906709,Pers byggservice AS,,1,0.0,,False
1 vs 2,818120842,Advokatfirmaet siri k. karlsen AS,,1,0.0,,False
1 vs 2,829241072,Advokatfirmaet eurojuris Telemark da,,1,0.0,,False
1 vs 2,871326282,Lykke per,,1,0.0,,False
1 vs 2,912829022,Advokatfirma mjaaseth AS,,1,0.0,,False
1 vs 2,913530217,Islann rettshjelp og mekling,,1,0.0,,False
1 vs 2,913871618,Advokatfirma geirr frønes AS,,1,0.0,,False
1 vs 2,915056776,Advokat marius haugstoga,,1,0.0,,False
1 vs 2,915935745,Advokatfirmaet revheim AS,,1,0.0,,False
1 vs 2,915996639,Advokat frank tveit,,1,0.0,,False
1 vs 2,917402337,Advokatene kåsa og nilsen AS,,1,0.0,,False
1 vs 2,918681167,Sørensengården AS,,1,0.0,,False
1 vs 2,919303816,Knut nordstrom,,1,0.0,,False
1 vs 2,919804416,Advokatfirma mjaaseth revheim co da,,1,0.0,,False
1 vs 2,921777442,Advokatfirma aspeflaten AS,,1,0.0,,False
1 vs 2,922916829,Advokatfirmaet algeroy AS,,1,0.0,,False
1 vs 2,923851143,Håtveit holding AS,,1,0.0,,False
1 vs 2,924045124,Advokat henriette folkestad,,1,0.0,,False
1 vs 2,924301767,Advokatfirmaet slettebø AS,,1,0.0,,False
1 vs 2,924622083,Advokat eirik sannes jonassen,,1,0.0,,False
1 vs 2,925554383,Advokatfirmaet tjentland AS,,1,0.0,,False
1 vs 2,927213990,Advokat frisak wallin AS,,1,0.0,,False
1 vs 2,929259416,Advokat knut-eldar eitran,,1,0.0,,False
1 vs 2,929341600,Advokatfirmaet kostveit AS,,1,0.0,,False
1 vs 2,929341708,Advokatfirmaet marqvardsen AS,,1,0.0,,False
1 vs 2,929343565,Advokatfirmaet dyrland AS,,1,0.0,,False
1 vs 2,931525646,Advokat åsne dingsør-dehlin,,1,0.0,,False
1 vs 2,932528312,Advokat anne tilly aas,,1,0.0,,False
1 vs 2,932726009,Advokat sveinung o. flaaten,,1,0.0,,False
1 vs 2,932874873,Advokatfirmaet mofossbakke AS,,1,0.0,,False
1 vs 2,933594025,Advokat junker AS,,1,0.0,,False
1 vs 2,933849848,Advokatfirmaet reinem moen AS,,1,0.0,,False
1 vs 2,935030757,Danielsen consulting,,1,0.0,,False
1 vs 2,935222230,Lothbrok consulting,,1,0.0,,False
1 vs 2,935283671,Advokatfirmaet lillefjære,,1,0.0,,False
1 vs 2,935658489,Advokatfirma jason alexander werner AS,,1,0.0,,False
1 vs 2,935777798,Gamle veger as tvangsavviklingsbo,,1,0.0,,False
1 vs 2,935889065,Korde advokat AS,,1,0.0,,False
1 vs 2,936153356,Schei,,1,0.0,,False
1 vs 2,969168251,Torkel moen,,1,0.0,,False
1 vs 2,970920420,Advokatfirmaet hvattum AS,,1,0.0,,False
1 vs 2,971138742,Morten nikolai wexels,,1,0.0,,False
1 vs 2,971203277,Advokat stein martin helland,,1,0.0,,False
1 vs 2,971456418,Advokat helge aarnes,,1,0.0,,False
1 vs 2,971463805,Advokat sven morten torsnes,,1,0.0,,False
1 vs 2,971473266,Felland advokatfirma,,1,0.0,,False
1 vs 2,974949741,Advokat helge husaas,,1,0.0,,False
1 vs 2,979625375,Advokat bjørn stormyr,,1,0.0,,False
1 vs 2,979969104,Advokat fred arne hjetland,,1,0.0,,False
1 vs 2,980663582,Advokat ranveig sem,,1,0.0,,False
1 vs 2,980663604,Advokat emil thorkildsen,,1,0.0,,False
1 vs 2,981777581,Advokat johan henrik frøstrup,,1,0.0,,False
1 vs 2,982591694,Øystein malmgren,,1,0.0,,False
1 vs 2,982714672,Advokatfirma gjøystdal,,1,0.0,,False
1 vs 2,983494382,Advokat sten løitegaard,,1,0.0,,False
1 vs 2,983928641,Advokat gunnar klausen,,1,0.0,,False
1 vs 2,984053908,Advokat arne gavle,,1,0.0,,False
1 vs 2,986180540,Jurist jon eivind svagård,,1,0.0,,False
1 vs 2,987209755,Advokat heidi amlie grindem,,1,0.0,,False
1 vs 2,988373575,Langangen & helset advokatfirma AS,,1,0.0,,False
1 vs 2,990619271,Advokat stein birger johnsen AS,,1,0.0,,False
1 vs 2,991141030,Advokatfirmaet wexels da,,1,0.0,,False
1 vs 2,992841958,Advokatfirmaet midgaard & co AS,,1,0.0,,False
1 vs 2,992851171,Advokatene bjørbæk AS,,1,0.0,,False
1 vs 2,994239554,Advokat sveinung sauar,,1,0.0,,False
1 vs 2,994298380,Advokatfirma moen erikstein AS,,1,0.0,,False
1 vs 2,995251329,Advokatfirmaet jessen AS,,1,0.0,,False
1 vs 2,996235920,Advokatfirma skomvær da,,1,0.0,,False
1 vs 2,997372301,Advokatfirmaet meland AS,,1,0.0,,False
1 vs 2,997522656,Advokatfirma folseraas AS,,1,0.0,,False
1 vs 2,999314686,Advokat hilde sannes holløkken,,1,0.0,,False
1 vs 2,915638384,Evjen revisjon AS,,1,0.0,,False
1 vs 2,928487431,Statsautorisert revisor rolf larsen,,1,0.0,,False
1 vs 2,936036112,Johre revisjon AS,,1,0.0,,False
1 vs 2,978643353,Statsaut. revisor bjørn enggrav AS,,1,0.0,,False
1 vs 2,984669003,Din revisor Telemark AS,,1,0.0,,False
1 vs 2,997910788,Kragerø revisjon AS,,1,0.0,,False
1 vs 2,999130356,Evjen holding AS,,1,0.0,,False
1 vs 2,812589792,Klikk regnskap AS,,1,0.0,,False
1 vs 2,821313872,Løkkebakken regnskap og rådgivning AS,,1,0.0,,False
1 vs 2,845348162,H t consult halvor thommesen,,1,0.0,,False
1 vs 2,855354942,Regnskapsconsult odd e carlsen,,1,0.0,,False
1 vs 2,870376502,Mikkel felland,,1,0.0,,False
1 vs 2,889240482,Sras AS,,1,0.0,,False
1 vs 2,913174054,Haugen & haugen AS,,1,0.0,,False
1 vs 2,913565606,Egeland accounting AS,,1,0.0,,False
1 vs 2,916656408,Regnskap og økonomiservice Skien AS,,1,0.0,,False
1 vs 2,918469079,Brit kilane regnskapstjenester,,1,0.0,,False
1 vs 2,919370122,Økonomiteamet AS,,1,0.0,,False
1 vs 2,920239072,Høyanfjellet 10 AS,,1,0.0,,False
1 vs 2,921025157,Flexus AS,,1,0.0,,False
1 vs 2,922077746,Origami paperworks AS,,1,0.0,,False
1 vs 2,922418314,Haustveit regnskap,,1,0.0,,False
1 vs 2,923173099,Avanti rådgivning AS,,2,0.0,,False
1 vs 2,923492240,Marit wright,,1,0.0,,False
1 vs 2,924062185,Aabjørnsrød regnskap,,1,0.0,,False
1 vs 2,925809780,Bø regnskap AS,,1,0.0,,False
1 vs 2,925992844,Sports accounting AS,,1,0.0,,False
1 vs 2,926335154,Augon myrjord AS,,1,0.0,,False
1 vs 2,927093898,Altitall AS,,1,0.0,,False
1 vs 2,927096579,Lerungsand rougthvedt,,1,0.0,,False
1 vs 2,927283514,Uniting findings - khasanov,,1,0.0,,False
1 vs 2,927409593,Ressurs accounting AS,,1,0.0,,False
1 vs 2,927522462,Knottenbeld regnskap,,1,0.0,,False
1 vs 2,928415406,Iek regnskap og rådgiving AS,,1,0.0,,False
1 vs 2,929100298,Treungen rekneskap AS,,1,0.0,,False
1 vs 2,929479947,Wahlstrøm regnskap og rådgivning AS,,1,0.0,,False
1 vs 2,929628756,Medvind consulting AS,,1,0.0,,False
1 vs 2,929688090,Byholt edb og regnskapsservice AS,,1,0.0,,False
1 vs 2,930491241,Rune semb,,1,0.0,,False
1 vs 2,930572403,Telemark regnskap AS,,1,0.0,,False
1 vs 2,931524364,Riktig regnskap AS,,1,0.0,,False
1 vs 2,932089807,Qualis regnskap AS,,1,0.0,,False
1 vs 2,932953285,Strandskogen consulting anne strandskogen hamre,,1,0.0,,False
1 vs 2,933162354,Werenskiold invest AS,,1,0.0,,False
1 vs 2,933250415,Bjørn håkonsen regnskap AS,,1,0.0,,False
1 vs 2,933456714,Thalberg invest AS,,1,0.0,,False
1 vs 2,933556549,Porsgrunn regnskap AS,,1,0.0,,False
1 vs 2,933574504,L&m sigurdsen regnskap,,1,0.0,,False
1 vs 2,934763343,Trygg økonomi volodina & co,,1,0.0,,False
1 vs 2,935126576,Calculus as konkursbo,,1,0.0,,False
1 vs 2,936036457,Økonomiservice AS,,1,0.0,,False
1 vs 2,936177611,Amate økonomi AS,,1,0.0,,False
1 vs 2,940752965,Haugan regnskapskontor AS,,1,0.0,,False
1 vs 2,961447879,Hanne nielsen,,1,0.0,,False
1 vs 2,970359303,A e dataregnskap egeland,,1,0.0,,False
1 vs 2,970942750,Dalen rekneskap anneken schlenzig,,1,0.0,,False
1 vs 2,975788202,Argentum regnskap og finans AS,,1,0.0,,False
1 vs 2,976499239,Aktiv regnskap torunn sætre,,1,0.0,,False
1 vs 2,977195179,Embla consult john gerhard embla,,1,0.0,,False
1 vs 2,980945812,Øyfjell regnskapskontor wenche tvedt trovatn,,1,0.0,,False
1 vs 2,981855221,Autorisert regnskapsfører fred zetterstrøm,,1,0.0,,False
1 vs 2,987563176,Tinn regnskap & rådgivning AS,,1,0.0,,False
1 vs 2,987651989,Uglem regnskap & rådgivning,,1,0.0,,False
1 vs 2,987726660,Eggerud finans AS,,1,0.0,,False
1 vs 2,988124567,Tk regnskap torunn klepsland,,1,0.0,,False
1 vs 2,988298913,Frednes consult AS,,1,0.0,,False
1 vs 2,989089870,Regnskapskontoret eriksen AS,,1,0.0,,False
1 vs 2,989176250,Siviløkonom ole kristian solum AS,,1,0.0,,False
1 vs 2,989183869,Leca finans og regnskap kari i aas,,1,0.0,,False
1 vs 2,989924176,Asland økonomiservice,,1,0.0,,False
1 vs 2,990103224,Rossvang regnskap,,1,0.0,,False
1 vs 2,992474904,Grumheden holding AS,,1,0.0,,False
1 vs 2,992983566,Siviløkonom østland,,1,0.0,,False
1 vs 2,993876127,Stavseth regnskap,,1,0.0,,False
1 vs 2,995828618,Hs regnskap AS,,1,0.0,,False
1 vs 2,996256634,Aastad regnskap,,1,0.0,,False
1 vs 2,997350588,Rd rekneskap AS,,1,0.0,,False
1 vs 2,998442990,Notodden regnskap AS,,1,0.0,,False
1 vs 2,998469864,Omlids regnskap,,1,0.0,,False
1 vs 2,998537045,Grenland regnskap AS,,1,0.0,,False
1 vs 2,813300362,Galtung kompetanseutvikling AS,,1,0.0,,False
1 vs 2,814529452,Gap consulting AS,,1,0.0,,False
1 vs 2,816642612,Holte og lia holding AS,,1,0.0,,False
1 vs 2,819277672,Maxmin AS,,1,0.0,,False
1 vs 2,819954712,Telemark consulting AS,,1,0.0,,False
1 vs 2,820180372,Butterfly`s AS,,1,0.0,,False
1 vs 2,820246012,Innovasjon360 AS,,1,0.0,,False
1 vs 2,823736762,Growthiogen invest AS,,1,0.0,,False
1 vs 2,827408832,R&b Norge AS,,1,0.0,,False
1 vs 2,830556842,M bakke consulting,,1,0.0,,False
1 vs 2,831061812,Waterfed v/tommy tandberg åby,,1,0.0,,False
1 vs 2,831192712,Loup AS,,1,0.0,,False
1 vs 2,831364602,Finko AS,,1,0.0,,False
1 vs 2,832604542,Power by nature holding AS,,1,0.0,,False
1 vs 2,832971952,Flatdal konsult nuf,,1,0.0,,False
1 vs 2,832983292,Kontor- og prosjektpartner AS,,1,0.0,,False
1 vs 2,832994952,Espen mjøen,,1,0.0,,False
1 vs 2,833603922,Johannessen b2b,,1,0.0,,False
1 vs 2,833880012,Bon jour coaching & marketing lundseng,,1,0.0,,False
1 vs 2,833959522,Solutiofm consult AS,,1,0.0,,False
1 vs 2,834918862,Qla-237 johannessen,,1,0.0,,False
1 vs 2,834919222,Rare relasjoner jacob offenberg,,1,0.0,,False
1 vs 2,834920972,Crescera nova AS,,1,0.0,,False
1 vs 2,835416232,Kulturgerilja AS,,1,0.0,,False
1 vs 2,835831442,Kreativ visjon plus gulevych,,1,0.0,,False
1 vs 2,853863882,Aasulf råmunddal,,1,0.0,,False
1 vs 2,865581122,Notodden utvikling AS,,1,0.0,,False
1 vs 2,867594132,Stoltz partner,,1,0.0,,False
1 vs 2,870397852,Blikom lars bjørn,,1,0.0,,False
1 vs 2,882896722,Navisys AS,,1,0.0,,False
1 vs 2,888300422,Bas holding AS,,1,0.0,,False
1 vs 2,888755012,Austbø holding AS,,1,0.0,,False
1 vs 2,894388722,Edad consulting kjetil ditlefsen,,1,0.0,,False
1 vs 2,896818112,Høier kompetanse AS,,1,0.0,,False
1 vs 2,897295652,Storberget AS,,1,0.0,,False
1 vs 2,898202372,Toreso AS,,1,0.0,,False
1 vs 2,898766322,Einar kristoffersen,,1,0.0,,False
1 vs 2,911819988,Drodleriet willumsen,,1,0.0,,False
1 vs 2,911869381,Ga consulting AS,,1,0.0,,False
1 vs 2,911873753,Eikeland formidling,,1,0.0,,False
1 vs 2,911908506,Hans kristian norheim lahus,,1,0.0,,False
1 vs 2,911931508,Vee consulting,,1,0.0,,False
1 vs 2,912000621,Siglar development AS,,1,0.0,,False
1 vs 2,912167003,Dvø AS,,1,0.0,,False
1 vs 2,912804631,Erik nordal,,1,0.0,,False
1 vs 2,912872122,Fyresdal næringshage AS,,1,0.0,,False
1 vs 2,913022823,Stolt ressurs AS,,1,0.0,,False
1 vs 2,913095154,Polar-medica AS,,1,0.0,,False
1 vs 2,913157648,Sightvision AS,,1,0.0,,False
1 vs 2,913214757,Ligaarden AS,,1,0.0,,False
1 vs 2,913247124,Henry mæland AS,,1,0.0,,False
1 vs 2,913415116,Burst import Norway rudi christiansen,,1,0.0,,False
1 vs 2,913867661,Din kompanjong AS,,1,0.0,,False
1 vs 2,914014948,B2 forvaltning AS,,1,0.0,,False
1 vs 2,914224853,Jgs retail AS,,1,0.0,,False
1 vs 2,914918529,Rt development AS,,1,0.0,,False
1 vs 2,915181384,Mandt consulting,,1,0.0,,False
1 vs 2,915273017,Future lab AS,,1,0.0,,False
1 vs 2,915377327,Exitare halvor berg-hanssen,,1,0.0,,False
1 vs 2,915384307,Andersen coaching og consulting,,1,0.0,,False
1 vs 2,915523412,Elm-hms elmar malmgren,,1,0.0,,False
1 vs 2,915780059,Apneseth rådgivning AS,,1,0.0,,False
1 vs 2,915832865,Hollaheia AS,,1,0.0,,False
1 vs 2,916544022,Erik lien rådgivning,,1,0.0,,False
1 vs 2,916661533,Tom islann,,1,0.0,,False
1 vs 2,916669151,Tikon AS,,1,0.0,,False
1 vs 2,916729839,Ulleren AS,,1,0.0,,False
1 vs 2,916885830,Dagh consulting AS,,1,0.0,,False
1 vs 2,916952953,Draupne consult AS,,1,0.0,,False
1 vs 2,917614709,Addvaluepartner rolf idar isaksen,,1,0.0,,False
1 vs 2,917637296,Tdi invest AS,,1,0.0,,False
1 vs 2,918050922,Espen tollefsen - event og arrangementer,,1,0.0,,False
1 vs 2,918418865,Shold AS,,1,0.0,,False
1 vs 2,918601139,Hilde charlotte solheim,,1,0.0,,False
1 vs 2,918853677,Msg holding AS,,1,0.0,,False
1 vs 2,919065796,Fuglset consulting,,1,0.0,,False
1 vs 2,919154810,Sa-ho AS,,1,0.0,,False
1 vs 2,919160527,Jordon AS,,1,0.0,,False
1 vs 2,919415282,Perak AS,,1,0.0,,False
1 vs 2,919545801,C8 holding AS,,1,0.0,,False
1 vs 2,919790288,Sh consult sondre hartveit,,1,0.0,,False
1 vs 2,920179770,Jens tangen,,1,0.0,,False
1 vs 2,920184545,Rbl rådgjeving rune bottolf lødøen,,1,0.0,,False
1 vs 2,920213405,Fougner consulting,,1,0.0,,False
1 vs 2,920490115,Teb consult AS,,1,0.0,,False
1 vs 2,920590357,"Mp-konsult, pettersen",,1,0.0,,False
1 vs 2,920726550,Bedriftskonsulenten sylvi johansen,,1,0.0,,False
1 vs 2,920760058,Refractory support Norway ivar hegna,,1,0.0,,False
1 vs 2,920777627,Paxpo AS,,1,0.0,,False
1 vs 2,921172990,Jjcs AS,,1,0.0,,False
1 vs 2,921298668,Moonage AS,,1,0.0,,False
1 vs 2,921495986,Seven stones nordic,,1,0.0,,False
1 vs 2,921533012,Tofu holding AS,,1,0.0,,False
1 vs 2,921626800,Mæland mediatio,,1,0.0,,False
1 vs 2,921743998,Obiter AS,,1,0.0,,False
1 vs 2,921789742,Trigg AS,,1,0.0,,False
1 vs 2,922184046,Askvig consulting,,1,0.0,,False
1 vs 2,922254451,Vigerust holding AS,,1,0.0,,False
1 vs 2,922425450,Ligaarden.no AS,,1,0.0,,False
1 vs 2,922851786,"Bre consult, bjarne r. eilertsen",,1,0.0,,False
1 vs 2,923191186,Cooperation AS,,1,0.0,,False
1 vs 2,923193952,Raev AS,,1,0.0,,False
1 vs 2,923219536,Total sparing AS,,1,0.0,,False
1 vs 2,923886524,Hanssen idé,,1,0.0,,False
1 vs 2,924345705,Rf management AS,,1,0.0,,False
1 vs 2,924383321,Crobroby AS,,1,0.0,,False
1 vs 2,924428333,Tru consulting AS,,1,0.0,,False
1 vs 2,924438010,Gunnar kristian johnsen,,1,0.0,,False
1 vs 2,924617624,Kp rådgivning v/ øystein k pettersen,,1,0.0,,False
1 vs 2,924726148,Elire group AS,,1,0.0,,False
1 vs 2,925047813,Jannecke stabell AS,,1,0.0,,False
1 vs 2,925136069,Tombre AS,,1,0.0,,False
1 vs 2,925216674,Lier naturbruk berstad,,1,0.0,,False
1 vs 2,925233250,Kuntz konsulenter AS,,1,0.0,,False
1 vs 2,925285900,Jarl valebjørg,,1,0.0,,False
1 vs 2,925515825,Jc hauge,,1,0.0,,False
1 vs 2,925775851,Hjartdal næringspark AS,,1,0.0,,False
1 vs 2,925970565,Lhen AS,,2,0.0,,False
1 vs 2,925993247,F. windegaard konsult,,1,0.0,,False
1 vs 2,926054899,Elva invest AS,,1,0.0,,False
1 vs 2,926179365,Solli vision AS,,1,0.0,,False
1 vs 2,926543091,Assetto AS,,1,0.0,,False
1 vs 2,926550101,Lars AS,,1,0.0,,False
1 vs 2,926564641,Rådgiveriet ståle tveit,,1,0.0,,False
1 vs 2,926645730,Eztheory AS,,1,0.0,,False
1 vs 2,926684787,Flåten consult,,1,0.0,,False
1 vs 2,926760327,Åse egeland konsulent,,1,0.0,,False
1 vs 2,926889427,Konstantin romaikin consulting,,1,0.0,,False
1 vs 2,926900013,Birkeland skaperverksted AS,,1,0.0,,False
1 vs 2,927089289,Kleven invest drift AS,,1,0.0,,False
1 vs 2,927137216,Reidulf tangen AS,,1,0.0,,False
1 vs 2,927137240,La-invest AS,,1,0.0,,False
1 vs 2,927207761,Spacetime consulting AS,,1,0.0,,False
1 vs 2,927288699,H. a. smith consulting,,1,0.0,,False
1 vs 2,927411725,Mdco Telemark AS,,1,0.0,,False
1 vs 2,927459744,Anundsen consulting,,1,0.0,,False
1 vs 2,927571471,Fram consult AS,,1,0.0,,False
1 vs 2,927640929,Harlun holding AS,,1,0.0,,False
1 vs 2,927868024,Westby consult,,1,0.0,,False
1 vs 2,927891468,Moen-consult AS,,1,0.0,,False
1 vs 2,927984008,Mykle consult AS,,1,0.0,,False
1 vs 2,928031985,Petacon AS,,1,0.0,,False
1 vs 2,928033503,Mp konsult AS,,1,0.0,,False
1 vs 2,928193535,Lepperød invest AS,,1,0.0,,False
1 vs 2,928357155,Alfheim consulting AS,,1,0.0,,False
1 vs 2,928452573,Gi service AS,,1,0.0,,False
1 vs 2,928472698,Grim investment AS,,1,0.0,,False
1 vs 2,928563960,Ingrid elisabeth kåss,,1,0.0,,False
1 vs 2,928622975,Nordcat AS,,1,0.0,,False
1 vs 2,928669440,Brekkas firma hjelp,,1,0.0,,False
1 vs 2,928703207,Stene kulturservice,,1,0.0,,False
1 vs 2,928767191,Hübscher-alt legal,,1,0.0,,False
1 vs 2,928780627,Mestalaget AS,,1,0.0,,False
1 vs 2,928833992,Malmgren consulting,,1,0.0,,False
1 vs 2,928834026,Vaagland consulting,,1,0.0,,False
1 vs 2,928883787,S38 consulting AS,,1,0.0,,False
1 vs 2,928897656,Dt consulting daria tomala,,1,0.0,,False
1 vs 2,928947386,H2-arctic AS,,1,0.0,,False
1 vs 2,929027183,Moen-consulting AS,,1,0.0,,False
1 vs 2,929219880,Solberg konsulent inngår i dødsbo,,1,0.0,,False
1 vs 2,929240944,Firma stig thorkildsen,,1,0.0,,False
1 vs 2,929242378,Owl advisory AS,,1,0.0,,False
1 vs 2,929337700,Kollenveien 16 AS,,1,0.0,,False
1 vs 2,929351347,Konsulenttjenester orekåsa,,1,0.0,,False
1 vs 2,929353366,Per stavnem consulting enk,,1,0.0,,False
1 vs 2,929468422,Guvihaug AS,,1,0.0,,False
1 vs 2,929474287,Viander sætre consult,,1,0.0,,False
1 vs 2,929489942,Rygh consulting,,1,0.0,,False
1 vs 2,929536363,Lynx handel AS,,1,0.0,,False
1 vs 2,929622650,Lammert altena,,1,0.0,,False
1 vs 2,929721969,Walaas hagen eiendom.,,1,0.0,,False
1 vs 2,929723120,Nor-mer AS,,1,0.0,,False
1 vs 2,929827945,Schøning skog,,1,0.0,,False
1 vs 2,929849310,Konsulent skaslien,,1,0.0,,False
1 vs 2,929919785,Tsk consulting AS,,1,0.0,,False
1 vs 2,929935888,Olav kasland AS,,1,0.0,,False
1 vs 2,929962605,Tankedreieriet AS,,1,0.0,,False
1 vs 2,930000515,Janne løken,,1,0.0,,False
1 vs 2,930021083,Lycan management AS,,1,0.0,,False
1 vs 2,930051969,Calma holding AS,,1,0.0,,False
1 vs 2,930303216,Solvold hr-rådgivning,,1,0.0,,False
1 vs 2,930358169,3by3 Norway AS,,1,0.0,,False
1 vs 2,930362549,Aasheim consulting AS,,1,0.0,,False
1 vs 2,930372609,H&h gruppen AS,,1,0.0,,False
1 vs 2,930532274,Mark ninowsky,,1,0.0,,False
1 vs 2,930580643,Virksomhetsrådgiver AS,,1,0.0,,False
1 vs 2,930591998,Jordon consulting AS,,1,0.0,,False
1 vs 2,930608858,Steinar ulla,,1,0.0,,False
1 vs 2,930677396,Kvam rådgivning,,1,0.0,,False
1 vs 2,930709212,Pubilsher adviser v/ fless,,1,0.0,,False
1 vs 2,930762857,Svevr AS,,1,0.0,,False
1 vs 2,930787094,Davidson hamre consulting,,1,0.0,,False
1 vs 2,930854417,Stenbakkens - multiservice,,1,0.0,,False
1 vs 2,930863831,Kontorhjelp anna dabrowska,,1,0.0,,False
1 vs 2,931004492,Vsc AS,,1,0.0,,False
1 vs 2,931025473,Id3.no - oddbjørn lervåg,,1,0.0,,False
1 vs 2,931061631,Te tønnessen,,1,0.0,,False
1 vs 2,931099191,Kostveit holding AS,,1,0.0,,False
1 vs 2,931257269,Ramsli - prosjekt,,1,0.0,,False
1 vs 2,931277596,Ja hjelp brødsjømoen,,1,0.0,,False
1 vs 2,931344897,Trnsfrm consulting ken isaksen,,1,0.0,,False
1 vs 2,931431676,Lyons-kokkin,,1,0.0,,False
1 vs 2,931441159,Thor heritage AS,,1,0.0,,False
1 vs 2,931508733,Hekman immigration consultancy,,1,0.0,,False
1 vs 2,931576496,Maranthi van der werff sales & hospitality,,1,0.0,,False
1 vs 2,931604309,Enkelledelse AS,,1,0.0,,False
1 vs 2,931607812,Greiner consulting,,1,0.0,,False
1 vs 2,931646206,Sip consult sten inge polland,,1,0.0,,False
1 vs 2,931740377,Kristiansen drift,,1,0.0,,False
1 vs 2,931843508,Steffen. aas,,1,0.0,,False
1 vs 2,931924966,Reagera AS,,1,0.0,,False
1 vs 2,932021870,Gründer rolf atle nilsen-nordfjeldmark,,1,0.0,,False
1 vs 2,932092638,Riktig utvikling AS,,1,0.0,,False
1 vs 2,932110393,Findal & mørch AS,,1,0.0,,False
1 vs 2,932147912,Systems resource lab AS,,1,0.0,,False
1 vs 2,932167883,Lycan consulting AS,,1,0.0,,False
1 vs 2,932169738,Invent-invest schwaiger,,1,0.0,,False
1 vs 2,932172542,K. m. pettersen,,1,0.0,,False
1 vs 2,932252953,Farstad labs,,1,0.0,,False
1 vs 2,932267888,Pål kleffelgård,,1,0.0,,False
1 vs 2,932276526,Isortoq AS,,1,0.0,,False
1 vs 2,932423413,Andersen,,1,0.0,,False
1 vs 2,932423995,R17 pedagogisk utvikling anders riis nilsen,,1,0.0,,False
1 vs 2,932452308,Høgda kverndalen,,1,0.0,,False
1 vs 2,932461161,Leo westhelle consulting,,1,0.0,,False
1 vs 2,932469618,Helgesen driv,,1,0.0,,False
1 vs 2,932469928,Lena faye-lund sandvik,,1,0.0,,False
1 vs 2,932558963,Usland,,1,0.0,,False
1 vs 2,932693712,Saks consulting AS,,1,0.0,,False
1 vs 2,932707470,I.r.consulting radoslaw tomala,,1,0.0,,False
1 vs 2,932918986,Aicono management AS,,1,0.0,,False
1 vs 2,932932296,J krahulcova,,1,0.0,,False
1 vs 2,933023613,Matrial AS,,1,0.0,,False
1 vs 2,933221555,Restaurantgruppen soli jacobsen AS,,1,0.0,,False
1 vs 2,933228681,Kostveitconsulting AS,,1,0.0,,False
1 vs 2,933276368,At sport & media AS,,1,0.0,,False
1 vs 2,933278905,Realcoach tellefsen,,1,0.0,,False
1 vs 2,933302490,B.u holding AS,,1,0.0,,False
1 vs 2,933321290,Rognli rådgivning,,1,0.0,,False
